,用户编码,用户类型,性别,开户时长,帐户余额,年龄,基金代码,基金类型,投资时间,投资金额,投资方式,手续费
0,0,C1,男,24,48157,44,002334,股票型,2018-07-06,4655,申购,767
1,0,C1,男,24,48157,44,000628,股票型,2018-07-01,4331,定投,929
2,0,C1,男,24,48157,44,001396,股票型,2018-07-25,2701,认购,834
3,0,C1,男,24,48157,44,000867,股票型,2018-07-06,2881,认购,937
4,0,C1,男,24,48157,44,005038,股票型,2018-08-02,2851,定投,702
5,1,C3,男,34,48057,42,000844,混合型,2018-07-22,2734,定投,805
6,1,C3,男,34,48057,42,002000,混合型,2018-08-30,3026,定投,532
7,1,C3,男,34,48057,42,002583,混合型,2018-07-22,2605,定投,361
8,1,C3,男,34,48057,42,002317,混合型,2018-07-30,3052,定投,389
9,2,C1,男,26,57002,40,001917,股票型,2018-07-18,2713,认购,779
10,2,C1,男,26,57002,40,006781,股票型,2018-07-28,3874,申购,1052
11,2,C1,男,26,57002,40,002170,混合型,2018-08-04,4937,认购,996
12,2,C1,男,26,57002,40,002334,股票型,2018-08-08,3481,申购,801
13,2,C1,男,26,57002,40,671030,股票型,2018-07-01,3280,申购,729
14,2,C1,男,26,57002,40,004616,股票型,2018-07-11,2726,定投,926
15,2,C1,男,26,57002,40,005457,股票型,2018-08-14,4485,其他,889
16,3,C2,女,34,82094,45,002292,混合型,2018-07-07,9634,认购,800
17,3,C2,女,34,82094,45,002103,混合型,2018-07-06,7632,认购,891
18,3,C2,女,34,82094,45,001400,混合型,2018-07-25,6559,认购,768
19,4,C1,男,23,55077,42,006803,股票型,2018-08-09,2634,认购,704
20,4,C1,男,23,55077,42,001072,股票型,2018-08-16,2822,定投,801
21,4,C1,男,23,55077,42,006803,股票型,2018-08-25,2936,认购,1090
22,4,C1,男,23,55077,42,001245,股票型,2018-08-08,4633,认购,790
23,4,C1,男,23,55077,42,006604,股票型,2018-08-18,2533,定投,1063
24,4,C1,男,23,55077,42,001195,股票型,2018-08-23,3246,认购,1112
25,4,C1,男,23,55077,42,001223,股票型,2018-08-07,4673,其他,638
26,5,C1,女,27,57412,43,001579,股票型,2018-08-26,2957,认购,788
27,5,C1,女,27,57412,43,000991,股票型,2018-08-17,3962,申购,677
28,5,C1,女,27,57412,43,006692,股票型,2018-07-04,3181,申购,650
29,5,C1,女,27,57412,43,006003,股票型,2018-08-18,3772,定投,755
30,5,C1,女,27,57412,43,000711,股票型,2018-07-18,3109,定投,685
31,6,C1,男,26,40745,42,007524,股票型,2018-08-10,4171,其他,1069
32,6,C1,男,26,40745,42,006819,股票型,2018-07-12,3165,认购,1090
33,6,C1,男,26,40745,42,005570,股票型,2018-08-23,3494,定投,1033
34,6,C1,男,26,40745,42,007614,股票型,2018-07-19,2890,认购,979
35,6,C1,男,26,40745,42,000471,股票型,2018-08-28,4892,认购,873
36,7,C3,女,32,58268,40,002409,混合型,2018-08-31,2304,其他,316
37,7,C3,女,32,58268,40,001244,混合型,2018-07-02,2015,申购,742
38,7,C3,女,32,58268,40,002057,混合型,2018-08-28,2385,其他,499
39,7,C3,女,32,58268,40,000471,股票型,2018-07-13,2299,申购,371
40,7,C3,女,32,58268,40,000739,混合型,2018-07-24,2892,定投,392
41,8,C3,男,33,51011,40,001532,混合型,2018-08-16,3731,其他,388
42,8,C3,男,33,51011,40,001121,混合型,2018-08-17,2398,申购,727
43,8,C3,男,33,51011,40,001208,股票型,2018-08-26,3424,其他,728
44,8,C3,男,33,51011,40,002580,混合型,2018-08-22,3275,申购,866
45,9,C2,男,32,90195,46,001825,股票型,2018-08-17,8878,申购,1145
46,9,C2,男,32,90195,46,001111,混合型,2018-08-07,5484,认购,751
47,9,C2,男,32,90195,46,001449,混合型,2018-08-07,4850,认购,924
48,9,C2,男,32,90195,46,167706,股票型,2018-08-22,9003,认购,478
49,9,C2,男,32,90195,46,001008,股票型,2018-08-10,4660,认购,1047
50,10,C3,男,35,51261,41,001040,股票型,2018-07-09,1818,其他,789
51,10,C3,男,35,51261,41,000547,混合型,2018-07-18,1889,其他,307
52,10,C3,男,35,51261,41,001191,混合型,2018-07-23,2359,定投,352
53,10,C3,男,35,51261,41,000924,混合型,2018-08-31,1901,定投,510
54,11,C3,男,35,58364,42,000066,混合型,2018-07-25,2955,定投,872
55,11,C3,男,35,58364,42,001881,混合型,2018-07-29,2085,定投,814
56,11,C3,男,35,58364,42,001430,混合型,2018-08-23,3040,其他,434
57,11,C3,男,35,58364,42,001917,股票型,2018-08-23,2187,其他,482
58,12,C3,女,32,52761,40,006676,股票型,2018-07-18,3459,定投,531
59,12,C3,女,32,52761,40,002072,混合型,2018-07-30,2540,定投,675
60,12,C3,女,32,52761,40,002177,混合型,2018-07-28,3436,定投,489
61,12,C3,女,32,52761,40,001301,混合型,2018-08-25,2736,其他,418
62,13,C2,女,32,90711,44,006605,股票型,2018-08-17,7885,认购,776
63,13,C2,女,32,90711,44,005927,股票型,2018-07-09,8257,认购,771
64,13,C2,女,32,90711,44,001279,混合型,2018-07-29,8812,认购,684
65,13,C2,女,32,90711,44,001254,混合型,2018-07-08,7989,认购,593
66,13,C2,女,32,90711,44,002149,混合型,2018-07-17,5281,认购,446
67,14,C2,男,34,84645,44,001641,混合型,2018-08-26,4676,认购,577
68,14,C2,男,34,84645,44,000978,股票型,2018-08-06,5924,认购,925
69,14,C2,男,34,84645,44,001633,混合型,2018-07-02,6280,认购,968
70,14,C2,男,34,84645,44,001330,混合型,2018-08-01,6689,认购,594
71,15,C3,男,31,41885,41,002026,混合型,2018-07-01,3686,其他,389
