,FundCode,类型
0,1,混合型
3,6,混合型
6,11,混合型
11,17,混合型
12,20,混合型
13,21,混合型
17,29,混合型
18,30,混合型
19,31,混合型
22,39,混合型
28,56,混合型
29,57,混合型
30,58,混合型
31,61,混合型
32,63,混合型
33,65,混合型
34,66,混合型
39,72,混合型
40,73,混合型
44,83,混合型
51,110,混合型
52,117,混合型
55,120,混合型
56,121,混合型
59,124,混合型
60,126,混合型
61,127,混合型
66,136,混合型
77,165,混合型
78,166,混合型
79,167,混合型
81,172,混合型
82,173,混合型
93,190,混合型
97,195,混合型
98,196,混合型
100,199,混合型
107,209,混合型
110,214,混合型
111,215,混合型
112,219,混合型
113,220,混合型
115,241,混合型
116,242,混合型
117,251,混合型
120,256,混合型
121,259,混合型
122,263,混合型
123,264,混合型
124,273,混合型
125,279,混合型
127,294,混合型
135,308,混合型
137,314,混合型
144,327,混合型
145,328,混合型
151,336,混合型
153,339,混合型
155,354,混合型
159,362,混合型
160,363,混合型
162,367,混合型
172,390,混合型
177,398,混合型
180,404,混合型
183,408,混合型
185,410,混合型
187,414,混合型
188,417,混合型
194,423,混合型
198,431,混合型
199,432,混合型
200,433,混合型
203,436,混合型
205,452,混合型
207,458,混合型
208,462,混合型
215,477,混合型
216,480,混合型
225,496,混合型
231,507,混合型
232,508,混合型
234,511,混合型
236,520,混合型
237,522,混合型
238,523,混合型
240,526,混合型
241,527,混合型
243,529,混合型
244,530,混合型
245,531,混合型
246,532,混合型
248,534,混合型
249,535,混合型
251,538,混合型
254,541,混合型
257,545,混合型
258,547,混合型
261,550,混合型
262,551,混合型
263,554,混合型
264,556,混合型
265,557,混合型
272,566,混合型
273,567,混合型
275,572,混合型
276,573,混合型
277,574,混合型
285,584,混合型
286,585,混合型
288,587,混合型
290,589,混合型
291,590,混合型
292,591,混合型
295,595,混合型
296,597,混合型
297,598,混合型
300,601,混合型
302,603,混合型
307,609,混合型
308,612,混合型
313,619,混合型
320,634,混合型
322,639,混合型
328,646,混合型
331,649,混合型
334,652,混合型
335,654,混合型
343,663,混合型
344,664,混合型
346,667,混合型
349,672,混合型
353,679,混合型
357,684,混合型
361,689,混合型
362,690,混合型
366,695,混合型
369,698,混合型
375,706,混合型
377,708,混合型
383,714,混合型
385,717,混合型
391,727,混合型
399,739,混合型
400,742,混合型
401,743,混合型
405,747,混合型
409,753,混合型
410,754,混合型
411,755,混合型
413,757,混合型
418,762,混合型
419,763,混合型
421,767,混合型
423,772,混合型
433,788,混合型
437,794,混合型
438,796,混合型
440,800,混合型
444,804,混合型
445,805,混合型
452,822,混合型
453,823,混合型
454,824,混合型
455,825,混合型
465,841,混合型
466,843,混合型
467,844,混合型
468,845,混合型
472,849,混合型
473,850,混合型
487,870,混合型
494,877,混合型
495,878,混合型
496,879,混合型
497,880,混合型
501,887,混合型
505,892,混合型
507,894,混合型
516,904,混合型
531,924,混合型
533,926,混合型
534,928,混合型
535,929,混合型
536,930,混合型
538,932,混合型
539,933,混合型
540,935,混合型
541,936,混合型
544,939,混合型
545,940,混合型
548,945,混合型
549,946,混合型
550,953,混合型
551,954,混合型
556,963,混合型
557,965,混合型
558,966,混合型
559,967,混合型
560,969,混合型
561,970,混合型
563,972,混合型
566,976,混合型
567,977,混合型
574,986,混合型
576,992,混合型
577,993,混合型
578,994,混合型
579,995,混合型
583,1000,混合型
586,1004,混合型
588,1007,混合型
594,1014,混合型
595,1017,混合型
596,1018,混合型
599,1030,混合型
603,1037,混合型
614,1053,混合型
616,1056,混合型
617,1059,混合型
618,1060,混合型
619,1067,混合型
620,1068,混合型
621,1069,混合型
623,1071,混合型
625,1073,混合型
626,1074,混合型
627,1075,混合型
628,1076,混合型
633,1088,混合型
639,1102,混合型
640,1103,混合型
643,1106,混合型
644,1110,混合型
645,1111,混合型
646,1112,混合型
647,1115,混合型
648,1116,混合型
649,1117,混合型
650,1118,混合型
651,1119,混合型
652,1120,混合型
653,1121,混合型
654,1122,混合型
655,1123,混合型
657,1125,混合型
659,1127,混合型
660,1128,混合型
662,1135,混合型
663,1136,混合型
664,1139,混合型
665,1140,混合型
666,1141,混合型
667,1142,混合型
668,1143,混合型
669,1144,混合型
670,1146,混合型
671,1147,混合型
672,1148,混合型
673,1150,混合型
674,1152,混合型
675,1154,混合型
676,1156,混合型
677,1157,混合型
681,1164,混合型
682,1165,混合型
685,1170,混合型
687,1172,混合型
688,1173,混合型
689,1174,混合型
694,1179,混合型
695,1181,混合型
696,1182,混合型
697,1183,混合型
698,1184,混合型
699,1185,混合型
702,1189,混合型
703,1190,混合型
704,1191,混合型
705,1192,混合型
707,1194,混合型
709,1196,混合型
710,1197,混合型
711,1198,混合型
714,1201,混合型
715,1202,混合型
716,1203,混合型
717,1204,混合型
718,1205,混合型
720,1209,混合型
721,1210,混合型
725,1215,混合型
726,1216,混合型
727,1217,混合型
728,1218,混合型
729,1219,混合型
730,1220,混合型
731,1222,混合型
733,1224,混合型
734,1225,混合型
735,1226,混合型
736,1227,混合型
737,1228,混合型
738,1229,混合型
740,1231,混合型
746,1239,混合型
748,1244,混合型
750,1247,混合型
751,1249,混合型
752,1250,混合型
754,1252,混合型
755,1254,混合型
756,1255,混合型
757,1256,混合型
760,1261,混合型
761,1264,混合型
762,1265,混合型
763,1266,混合型
764,1267,混合型
765,1268,混合型
766,1270,混合型
767,1271,混合型
768,1272,混合型
769,1273,混合型
770,1274,混合型
771,1275,混合型
772,1276,混合型
774,1278,混合型
775,1279,混合型
776,1280,混合型
777,1281,混合型
778,1282,混合型
779,1283,混合型
780,1284,混合型
781,1285,混合型
782,1286,混合型
783,1287,混合型
785,1294,混合型
786,1296,混合型
787,1297,混合型
788,1298,混合型
790,1300,混合型
791,1301,混合型
792,1302,混合型
793,1303,混合型
794,1304,混合型
795,1305,混合型
796,1306,混合型
797,1307,混合型
799,1309,混合型
800,1311,混合型
801,1312,混合型
803,1314,混合型
804,1315,混合型
805,1316,混合型
