,FundCode,类型
1,3,债券型
2,4,债券型
8,14,债券型
9,15,债券型
10,16,债券型
14,24,债券型
15,25,债券型
16,28,债券型
20,32,债券型
21,33,债券型
23,45,债券型
24,46,债券型
25,47,债券型
26,48,债券型
27,54,债券型
35,67,债券型
36,68,债券型
37,69,债券型
38,70,债券型
41,80,债券型
42,81,债券型
45,84,债券型
46,85,债券型
47,91,债券型
48,104,债券型
49,107,债券型
50,109,债券型
53,118,债券型
54,119,债券型
57,122,债券型
58,123,债券型
62,128,债券型
63,129,债券型
64,130,债券型
65,131,债券型
67,139,债券型
68,141,债券型
69,142,债券型
70,143,债券型
71,147,债券型
72,148,债券型
73,149,债券型
74,150,债券型
75,152,债券型
76,153,债券型
80,171,债券型
83,174,债券型
84,175,债券型
85,181,债券型
86,182,债券型
87,184,债券型
88,185,债券型
89,186,债券型
90,187,债券型
91,188,债券型
92,189,债券型
94,191,债券型
95,192,债券型
96,194,债券型
103,205,债券型
104,206,债券型
105,207,债券型
106,208,债券型
114,236,债券型
118,252,债券型
119,253,债券型
126,286,债券型
128,297,债券型
129,298,债券型
130,299,债券型
133,305,债券型
134,306,债券型
138,316,债券型
139,319,债券型
140,320,债券型
149,333,债券型
150,334,债券型
152,338,债券型
156,355,债券型
157,356,债券型
164,377,债券型
165,378,债券型
169,385,债券型
170,386,债券型
173,394,债券型
174,395,债券型
175,396,债券型
178,402,债券型
179,403,债券型
181,406,债券型
182,407,债券型
190,419,债券型
191,420,债券型
192,421,债券型
193,422,债券型
197,428,债券型
202,435,债券型
209,463,债券型
211,466,债券型
217,481,债券型
220,489,债券型
221,490,债券型
226,497,债券型
227,503,债券型
228,504,债券型
250,536,债券型
268,561,债券型
269,562,债券型
270,563,债券型
271,564,债券型
281,578,债券型
282,579,债券型
305,606,债券型
310,616,债券型
311,617,债券型
336,655,债券型
347,668,债券型
348,669,债券型
350,674,债券型
363,692,债券型
365,694,债券型
387,723,债券型
396,736,债券型
397,737,债券型
402,744,债券型
403,745,债券型
428,781,债券型
429,782,债券型
441,801,债券型
442,802,债券型
446,810,债券型
447,812,债券型
448,814,债券型
449,815,债券型
463,839,债券型
464,840,债券型
478,859,债券型
492,875,债券型
493,876,债券型
502,889,债券型
503,890,债券型
509,896,债券型
510,897,债券型
511,898,债券型
512,899,债券型
520,910,债券型
521,911,债券型
524,914,债券型
537,931,债券型
542,937,债券型
543,938,债券型
546,943,债券型
547,944,债券型
553,958,债券型
554,959,债券型
564,973,债券型
581,997,债券型
582,998,债券型
584,1001,债券型
585,1003,债券型
592,1011,债券型
593,1013,债券型
600,1031,债券型
601,1033,债券型
609,1045,债券型
610,1046,债券型
631,1086,债券型
632,1087,债券型
656,1124,债券型
712,1199,债券型
713,1200,债券型
723,1212,债券型
724,1213,债券型
744,1235,债券型
758,1257,债券型
759,1258,债券型
789,1299,债券型
840,1367,债券型
971,1575,债券型
974,1578,债券型
1021,1661,债券型
1096,1751,债券型
1097,1752,债券型
1117,1776,债券型
1118,1779,债券型
1122,1783,债券型
1123,1784,债券型
1128,1794,债券型
1171,1862,债券型
1172,1863,债券型
1177,1868,债券型
1194,1889,债券型
1213,1911,债券型
1218,1918,债券型
1219,1919,债券型
1220,1920,债券型
1221,1921,债券型
1237,1941,债券型
1240,1945,债券型
1241,1946,债券型
1243,1948,债券型
1244,1949,债券型
1249,1957,债券型
1250,1958,债券型
1252,1960,债券型
1253,1963,债券型
1271,1988,债券型
1272,1989,债券型
1276,1993,债券型
1322,2065,债券型
1323,2066,债券型
1328,2073,债券型
1329,2074,债券型
1339,2086,债券型
1345,2101,债券型
1346,2102,债券型
1365,2138,债券型
1366,2139,债券型
1367,2140,债券型
1391,2169,债券型
1396,2175,债券型
1407,2188,债券型
1416,2198,债券型
1420,2206,债券型
1442,2245,债券型
1443,2246,债券型
1457,2268,债券型
1462,2274,债券型
1463,2275,债券型
1464,2276,债券型
1465,2277,债券型
1466,2278,债券型
1467,2279,债券型
1480,2301,债券型
1502,2336,债券型
1503,2337,债券型
