,客户编号,交易时间,交易金额,基金类型,基金编号
0,9765,2016-04-07 10:25:09,3870,定开债券,163211.0
1,9765,2016-04-07 10:25:09,3943,联接基金,110021.0
2,9765,2016-04-07 10:25:09,3711,货币型,675031.0
3,9765,2016-04-27 10:25:09,3494,QDII-指数,5676.0
4,9765,2016-04-07 10:25:09,3546,联接基金,5789.0
5,9765,2016-04-27 10:25:09,3841,联接基金,4346.0
6,9766,2016-04-07 10:25:09,3592,货币型,200003.0
7,9766,2016-04-07 10:25:09,4037,联接基金,2900.0
8,9766,2016-04-27 10:25:09,3546,联接基金,1241.0
9,9766,2016-04-07 10:25:09,3450,货币型,626.0
10,9766,2016-04-07 10:25:09,3647,QDII-指数,110031.0
11,9766,2016-04-27 10:25:09,3923,混合-FOF,5217.0
12,9767,2016-04-07 10:25:09,3504,货币型,410002.0
13,9767,2016-04-27 10:25:09,4088,货币型,260102.0
14,9767,2016-04-07 10:25:09,3980,定开债券,3683.0
15,9767,2016-04-27 10:25:09,3436,联接基金,2903.0
16,9767,2016-04-27 10:25:09,3507,联接基金,6098.0
17,9768,2016-04-27 10:25:09,3880,QDII,5913.0
18,9768,2016-04-27 10:25:09,3631,联接基金,6286.0
19,9768,2016-04-07 10:25:09,3637,股票型,2387.0
20,9768,2016-04-27 10:25:09,3845,QDII,161116.0
21,9768,2016-04-27 10:25:09,3779,货币型,519505.0
22,9768,2016-04-27 10:25:09,3851,理财型,3879.0
23,9769,2016-04-07 10:25:09,4027,其他型,4356.0
24,9769,2016-04-07 10:25:09,3422,货币型,2260.0
25,9769,2016-04-07 10:25:09,3813,股票指数,2385.0
26,9769,2016-04-07 10:25:09,3439,联接基金,5659.0
27,9769,2016-04-27 10:25:09,3362,联接基金,376.0
28,9770,2016-04-27 10:25:09,3617,QDII,164701.0
29,9770,2016-04-07 10:25:09,3842,联接基金,5832.0
30,9770,2016-04-27 10:25:09,3608,QDII-指数,50025.0
31,9770,2016-04-07 10:25:09,3813,QDII,470888.0
32,9770,2016-04-27 10:25:09,3678,定开债券,1860.0
33,9771,2016-04-27 10:25:09,3464,货币型,539.0
34,9771,2016-04-27 10:25:09,3917,定开债券,3093.0
35,9771,2016-04-07 10:25:09,4033,定开债券,244.0
36,9771,2016-04-27 10:25:09,3866,货币型,787.0
37,9771,2016-04-27 10:25:09,3701,定开债券,5327.0
38,9772,2016-04-07 10:25:09,3830,QDII,160644.0
39,9772,2016-04-27 10:25:09,3870,定开债券,2109.0
40,9772,2016-04-27 10:25:09,3796,QDII,161229.0
41,9772,2016-04-07 10:25:09,3733,货币型,4185.0
42,9772,2016-04-27 10:25:09,4089,货币型,2918.0
43,9773,2016-04-27 10:25:09,4082,联接基金,975.0
44,9773,2016-04-27 10:25:09,3764,其他型,531030.0
45,9773,2016-04-27 10:25:09,4035,QDII-指数,161126.0
46,9773,2016-04-27 10:25:09,3562,货币型,4701.0
47,9773,2016-04-27 10:25:09,3742,其他型,6381.0
48,9774,2016-04-27 10:25:09,3934,QDII,161229.0
49,9774,2016-04-07 10:25:09,3390,联接基金,5554.0
50,9774,2016-04-07 10:25:09,3693,货币型,4173.0
51,9774,2016-04-27 10:25:09,3613,理财型,809.0
52,9774,2016-04-27 10:25:09,3665,混合型,1139.0
53,9775,2016-04-27 10:25:09,3904,QDII,2391.0
54,9775,2016-04-27 10:25:09,3688,其他型,929.0
55,9775,2016-04-07 10:25:09,3813,货币型,615.0
56,9775,2016-04-07 10:25:09,4015,定开债券,4504.0
57,9775,2016-04-27 10:25:09,3505,混合型,163415.0
58,9776,2016-04-27 10:25:09,4081,保本型,180002.0
59,9776,2016-04-27 10:25:09,3362,混合型,887.0
60,9776,2016-04-27 10:25:09,3503,QDII,2877.0
61,9776,2016-04-07 10:25:09,3554,货币型,3968.0
62,9776,2016-04-27 10:25:09,3584,联接基金,240016.0
63,9776,2016-04-27 10:25:09,3517,联接基金,6248.0
64,9777,2016-04-27 10:25:09,4000,理财型,485122.0
65,9777,2016-04-27 10:25:09,3613,货币型,2917.0
66,9777,2016-04-07 10:25:09,3370,混合-FOF,6290.0
67,9777,2016-04-27 10:25:09,3410,定开债券,161117.0
68,9777,2016-04-07 10:25:09,3577,联接基金,218.0
69,9778,2016-04-27 10:25:09,3981,股票型,5635.0
70,9778,2016-04-07 10:25:09,3753,理财型,690012.0
71,9778,2016-04-07 10:25:09,3605,货币型,868.0
72,9778,2016-04-07 10:25:09,3464,定开债券,345.0
73,9778,2016-04-07 10:25:09,3761,联接基金,6196.0
74,9778,2016-04-07 10:25:09,3375,定开债券,3530.0
75,9779,2016-04-07 10:25:09,3729,联接基金,5727.0
76,9779,2016-04-07 10:25:09,4020,联接基金,5813.0
77,9779,2016-04-07 10:25:09,3794,货币型,4178.0
78,9779,2016-04-27 10:25:09,4006,货币型,917.0
79,9779,2016-04-27 10:25:09,3771,定开债券,289.0
80,9779,2016-04-27 10:25:09,3724,定开债券,519160.0
81,9780,2016-04-27 10:25:09,4071,定开债券,2985.0
82,9780,2016-04-27 10:25:09,3843,联接基金,5832.0
83,9780,2016-04-07 10:25:09,3347,定开债券,245.0
84,9780,2016-04-27 10:25:09,3698,理财型,470014.0
85,9780,2016-04-27 10:25:09,3434,货币型,1820.0
86,9780,2016-04-07 10:25:09,3983,其他型,44.0
87,9781,2016-04-27 10:25:09,3944,货币型,13.0
88,9781,2016-04-27 10:25:09,3888,货币型,40038.0
89,9781,2016-04-07 10:25:09,3613,定开债券,3092.0
90,9781,2016-04-07 10:25:09,3921,保本型,180002.0
91,9781,2016-04-07 10:25:09,3748,定开债券,138.0
92,9782,2016-04-27 10:25:09,3468,货币型,3585.0
93,9782,2016-04-27 10:25:09,4008,联接基金,6697.0
94,9782,2016-04-27 10:25:09,3869,QDII-指数,164705.0
95,9782,2016-04-27 10:25:09,3466,定开债券,623.0
96,9782,2016-04-27 10:25:09,3714,定开债券,5995.0
97,9783,2016-04-27 10:25:09,3700,货币型,1386.0
98,9783,2016-04-07 10:25:09,4015,理财型,360019.0
99,9783,2016-04-07 10:25:09,3576,QDII-指数,160140.0
100,9783,2016-04-27 10:25:09,3811,货币型,343.0
101,9783,2016-04-07 10:25:09,3707,联接基金,6087.0
102,9784,2016-04-07 10:25:09,3497,混合-FOF,6292.0
103,9784,2016-04-27 10:25:09,3943,联接基金,5789.0
104,9784,2016-04-27 10:25:09,3997,定开债券,2741.0
105,9784,2016-04-27 10:25:09,4076,混合-FOF,6289.0
106,9784,2016-04-27 10:25:09,3867,定开债券,345.0
107,9784,2016-04-27 10:25:09,3741,QDII-指数,179.0
108,9785,2016-04-27 10:25:09,4022,联接基金,40190.0
109,9785,2016-04-07 10:25:09,3896,货币型,683.0
110,9785,2016-04-07 10:25:09,3592,货币型,981.0
111,9785,2016-04-07 10:25:09,3374,理财型,70035.0
112,9785,2016-04-27 10:25:09,3973,QDII,6308.0
113,9786,2016-04-27 10:25:09,3656,定开债券,239.0
114,9786,2016-04-27 10:25:09,3796,定开债券,346.0
115,9786,2016-04-27 10:25:09,3601,QDII,270023.0
116,9786,2016-04-27 10:25:09,3789,定开债券,5641.0
117,9786,2016-04-27 10:25:09,3736,混合-FOF,6295.0
118,9787,2016-04-07 10:25:09,3935,QDII,160216.0
119,9787,2016-04-27 10:25:09,3545,联接基金,160119.0
120,9787,2016-04-07 10:25:09,3409,混合-FOF,5976.0
121,9787,2016-04-07 10:25:09,3839,联接基金,460220.0
122,9787,2016-04-27 10:25:09,3389,联接基金,5803.0
123,9787,2016-04-27 10:25:09,3383,货币型,3792.0
124,9788,2016-04-27 10:25:09,3618,联接基金,257060.0
125,9788,2016-04-07 10:25:09,4071,货币型,1981.0
126,9788,2016-04-07 10:25:09,3972,其他型,929.0
127,9788,2016-04-07 10:25:09,3947,QDII,486002.0
128,9788,2016-04-27 10:25:09,3737,货币型,2318.0
