,FundCode,类型
4,9,货币型
5,10,货币型
7,13,货币型
99,198,货币型
101,203,货币型
102,204,货币型
108,210,货币型
109,211,货币型
131,300,货币型
132,301,货币型
141,324,货币型
142,325,货币型
146,330,货币型
147,331,货币型
148,332,货币型
154,343,货币型
158,359,货币型
161,366,货币型
163,371,货币型
166,379,货币型
167,380,货币型
168,381,货币型
171,389,货币型
176,397,货币型
195,424,货币型
196,425,货币型
201,434,货币型
204,439,货币型
210,464,货币型
213,475,货币型
214,476,货币型
218,483,货币型
219,484,货币型
222,493,货币型
223,494,货币型
224,495,货币型
229,505,货币型
230,506,货币型
233,509,货币型
242,528,货币型
247,533,货币型
252,539,货币型
253,540,货币型
255,542,货币型
256,543,货币型
259,548,货币型
266,559,货币型
267,560,货币型
274,569,货币型
278,575,货币型
279,576,货币型
283,580,货币型
284,581,货币型
289,588,货币型
298,599,货币型
299,600,货币型
301,602,货币型
303,604,货币型
304,605,货币型
306,607,货币型
309,615,货币型
312,618,货币型
314,620,货币型
315,621,货币型
316,625,货币型
317,626,货币型
318,627,货币型
321,638,货币型
323,640,货币型
324,641,货币型
325,642,货币型
326,644,货币型
327,645,货币型
329,647,货币型
330,648,货币型
332,650,货币型
333,651,货币型
337,657,货币型
338,658,货币型
339,659,货币型
340,660,货币型
341,661,货币型
342,662,货币型
345,665,货币型
351,677,货币型
352,678,货币型
354,681,货币型
355,682,货币型
356,683,货币型
358,686,货币型
359,687,货币型
364,693,货币型
370,699,货币型
371,700,货币型
372,701,货币型
373,704,货币型
374,705,货币型
376,707,货币型
378,709,货币型
379,710,货币型
381,712,货币型
382,713,货币型
384,716,货币型
386,719,货币型
388,724,货币型
389,725,货币型
390,726,货币型
393,730,货币型
394,734,货币型
395,735,货币型
398,738,货币型
406,748,货币型
407,750,货币型
414,758,货币型
415,759,货币型
416,760,货币型
420,764,货币型
422,771,货币型
424,773,货币型
426,779,货币型
430,785,货币型
431,786,货币型
432,787,货币型
434,789,货币型
435,790,货币型
439,797,货币型
450,816,货币型
451,818,货币型
457,829,货币型
458,830,货币型
460,832,货币型
461,836,货币型
462,837,货币型
469,846,货币型
470,847,货币型
471,848,货币型
475,855,货币型
476,856,货币型
477,857,货币型
479,860,货币型
480,861,货币型
481,862,货币型
482,863,货币型
485,868,货币型
486,869,货币型
488,871,货币型
489,872,货币型
490,873,货币型
491,874,货币型
498,882,货币型
499,883,货币型
504,891,货币型
508,895,货币型
513,901,货币型
514,902,货币型
515,903,货币型
517,905,货币型
518,907,货币型
519,908,货币型
522,912,货币型
526,917,货币型
527,920,货币型
528,921,货币型
529,922,货币型
530,923,货币型
570,980,货币型
571,981,货币型
572,982,货币型
587,1006,货币型
591,1010,货币型
597,1026,货币型
629,1077,货币型
630,1078,货币型
634,1094,货币型
635,1095,货币型
636,1096,货币型
638,1101,货币型
661,1134,货币型
690,1175,货币型
691,1176,货币型
692,1177,货币型
722,1211,货币型
741,1232,货币型
742,1233,货币型
743,1234,货币型
747,1240,货币型
753,1251,货币型
798,1308,货币型
844,1374,货币型
852,1386,货币型
855,1391,货币型
862,1401,货币型
910,1477,货币型
911,1478,货币型
942,1526,货币型
943,1527,货币型
945,1529,货币型
997,1621,货币型
999,1624,货币型
1000,1625,货币型
1026,1666,货币型
1028,1669,货币型
1046,1697,货币型
1047,1698,货币型
1048,1699,货币型
1144,1812,货币型
1147,1820,货币型
1148,1821,货币型
1153,1826,货币型
1161,1842,货币型
1162,1843,货币型
1176,1867,货币型
1179,1870,货币型
1180,1871,货币型
1198,1893,货币型
1199,1894,货币型
1200,1895,货币型
1211,1909,货币型
1216,1916,货币型
1224,1925,货币型
