,用户编码,用户类型,性别,开户时长,帐户余额,年龄,基金代码,基金类型,投资时间,投资金额,投资方式,手续费
0,0,C3,女,35,42480,41,867,股票型,2018-08-16,1813,其他,393
1,0,C3,女,35,42480,41,264,混合型,2018-08-20,1916,其他,410
2,0,C3,女,35,42480,41,39,混合型,2018-05-03,1704,定投,557
3,0,C3,女,35,42480,41,1097,股票型,2018-04-18,3014,申购,692
4,0,C3,女,35,42480,41,367,混合型,2018-07-22,2580,其他,871
5,0,C3,女,35,42480,41,172,混合型,2018-08-13,1876,其他,515
6,0,C3,女,35,42480,41,363,混合型,2018-04-23,2748,其他,386
7,0,C3,女,35,42480,41,893,股票型,2018-08-28,2253,定投,536
8,0,C3,女,35,42480,41,83,混合型,2018-05-01,2557,定投,458
9,0,C3,女,35,42480,41,831,股票型,2018-03-23,1555,其他,360
11,0,C3,女,35,42480,41,72,混合型,2018-01-26,2791,其他,709
12,0,C3,女,35,42480,41,264,混合型,2018-08-06,1859,定投,320
13,0,C3,女,35,42480,41,167,混合型,2018-06-16,3026,定投,433
14,0,C3,女,35,42480,41,21,混合型,2018-08-24,3308,其他,398
15,0,C3,女,35,42480,41,63,混合型,2018-03-25,1580,申购,547
16,0,C3,女,35,42480,41,955,股票型,2018-02-15,1931,申购,351
17,0,C3,女,35,42480,41,398,混合型,2018-08-14,1937,定投,597
18,1,C3,男,33,41898,43,83,混合型,2018-02-27,2091,申购,663
19,1,C3,男,33,41898,43,1917,股票型,2018-02-22,2999,申购,530
20,1,C3,男,33,41898,43,58,混合型,2018-01-20,3362,申购,555
21,1,C3,男,33,41898,43,72,混合型,2018-01-25,3541,其他,468
22,1,C3,男,33,41898,43,17,混合型,2018-07-14,3029,其他,419
23,1,C3,男,33,41898,43,196,混合型,2018-04-22,2359,定投,740
24,1,C3,男,33,41898,43,2289,股票型,2018-01-16,2664,申购,398
25,1,C3,男,33,41898,43,1692,股票型,2018-04-09,2246,其他,494
26,1,C3,男,33,41898,43,242,混合型,2018-05-15,3493,申购,838
27,1,C3,男,33,41898,43,866,股票型,2018-06-14,3229,申购,441
28,1,C3,男,33,41898,43,1,混合型,2018-08-26,2787,申购,812
29,1,C3,男,33,41898,43,308,混合型,2018-05-12,2936,申购,577
30,1,C3,男,33,41898,43,273,混合型,2018-07-16,3257,定投,537
31,1,C3,男,33,41898,43,328,混合型,2018-07-22,3652,其他,433
32,1,C3,男,33,41898,43,190,混合型,2018-01-07,2739,申购,532
34,1,C3,男,33,41898,43,1186,股票型,2018-07-10,2455,定投,473
35,1,C3,男,33,41898,43,215,混合型,2018-08-21,2407,申购,645
36,1,C3,男,33,41898,43,83,混合型,2018-04-27,3143,申购,627
37,2,C1,女,26,52701,40,1236,股票型,2018-04-09,3454,认购,791
38,2,C1,女,26,52701,40,2289,股票型,2018-01-28,3005,其他,614
39,2,C1,女,26,52701,40,3492,股票型,2018-08-11,3599,申购,1148
40,2,C1,女,26,52701,40,1651,股票型,2018-08-29,4753,认购,909
41,2,C1,女,26,52701,40,411,股票型,2018-01-12,4365,认购,918
42,2,C1,女,26,52701,40,756,股票型,2018-01-08,4324,申购,701
43,2,C1,女,26,52701,40,1230,股票型,2018-04-27,3697,认购,1015
44,2,C1,女,26,52701,40,1482,股票型,2018-07-18,4844,申购,716
45,2,C1,女,26,52701,40,409,股票型,2018-04-09,3397,其他,741
46,2,C1,女,26,52701,40,1476,股票型,2018-01-30,3481,其他,1181
47,2,C1,女,26,52701,40,1047,股票型,2018-02-19,4161,定投,1165
48,2,C1,女,26,52701,40,1717,股票型,2018-02-26,3773,其他,1115
49,2,C1,女,26,52701,40,1496,股票型,2018-07-05,2858,定投,805
50,2,C1,女,26,52701,40,751,股票型,2018-03-22,2689,定投,675
51,2,C1,女,26,52701,40,1245,股票型,2018-02-19,3074,认购,1045
52,2,C1,女,26,52701,40,978,股票型,2018-07-30,2820,认购,659
53,2,C1,女,26,52701,40,866,股票型,2018-04-20,2769,认购,685
54,2,C1,女,26,52701,40,1938,股票型,2018-01-09,2704,认购,639
55,2,C1,女,26,52701,40,1696,股票型,2018-02-09,2595,定投,968
56,2,C1,女,26,52701,40,409,股票型,2018-07-13,3718,认购,841
57,2,C1,女,26,52701,40,524,股票型,2018-05-26,2718,申购,819
58,2,C1,女,26,52701,40,1044,股票型,2018-04-22,3175,认购,800
59,2,C1,女,26,52701,40,2861,股票型,2018-05-14,4219,申购,692
60,2,C1,女,26,52701,40,411,股票型,2018-07-12,4229,认购,960
61,2,C1,女,26,52701,40,1040,股票型,2018-07-12,4254,定投,857
62,2,C1,女,26,52701,40,1476,股票型,2018-08-26,4917,认购,900
63,2,C1,女,26,52701,40,1849,股票型,2018-01-20,5066,定投,792
64,2,C1,女,26,52701,40,1651,股票型,2018-07-25,2554,认购,1041
65,2,C1,女,26,52701,40,326,股票型,2018-06-03,3458,申购,786
66,3,C2,女,33,93152,44,215,混合型,2018-03-30,8392,定投,607
67,3,C2,女,33,93152,44,1651,股票型,2018-08-31,9668,认购,1169
68,3,C2,女,33,93152,44,979,股票型,2018-04-24,7425,认购,1169
69,3,C2,女,33,93152,44,126,混合型,2018-04-08,7076,认购,573
70,3,C2,女,33,93152,44,121,混合型,2018-03-05,4736,认购,964
71,3,C2,女,33,93152,44,58,混合型,2018-07-27,8771,认购,418
72,3,C2,女,33,93152,44,165,混合型,2018-02-14,4812,申购,830
73,3,C2,女,33,93152,44,66,混合型,2018-07-05,9111,认购,1040
74,3,C2,女,33,93152,44,273,混合型,2018-04-27,6930,认购,1198
75,3,C2,女,33,93152,44,17,混合型,2018-07-17,6191,认购,1024
76,3,C2,女,33,93152,44,263,混合型,2018-05-20,8449,认购,788
77,3,C2,女,33,93152,44,1678,股票型,2018-03-31,9765,认购,1068
78,3,C2,女,33,93152,44,339,混合型,2018-06-12,8767,认购,452
79,3,C2,女,33,93152,44,273,混合型,2018-04-25,8165,认购,857
80,3,C2,女,33,93152,44,219,混合型,2018-08-06,6238,认购,754
