,FundCode,Sim1,name,type,Sim2
0,1,HXCZHH,华夏成长混合,混合型,HUAXIACHENGZHANGHUNHE
2,3,ZHKZZZQA,中海可转债债券A,债券型,ZHONGHAIKEZHUANZHAIZHAIQUANA
3,4,ZHKZZZQC,中海可转债债券C,债券型,ZHONGHAIKEZHUANZHAIZHAIQUANC
4,5,JSZQXYDQZQ,嘉实增强信用定期债券,定开债券,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
5,6,XBLDLHCZHH,西部利得量化成长混合,混合型,XIBULIDELIANGHUACHENGZHANGHUNHE
6,8,JSZZ500ETFLJA,嘉实中证500ETF联接A,联接基金,JIASHIZHONGZHENG500ETFLIANJIEA
7,9,YFDTTLCHBA,易方达天天理财货币A,货币型,YIFANGDATIANTIANLICAIHUOBIA
8,10,YFDTTLCHBB,易方达天天理财货币B,货币型,YIFANGDATIANTIANLICAIHUOBIB
9,11,HXDPJXHH,华夏大盘精选混合,混合型,HUAXIADAPANJINGXUANHUNHE
11,13,YFDTTLCHBR,易方达天天理财货币R,货币型,YIFANGDATIANTIANLICAIHUOBIR
12,14,HXJLZQ,华夏聚利债券,债券型,HUAXIAJULIZHAIQUAN
13,15,HXCZZQA,华夏纯债债券A,债券型,HUAXIACHUNZHAIZHAIQUANA
14,16,HXCZZQC,华夏纯债债券C,债券型,HUAXIACHUNZHAIZHAIQUANC
15,17,CTKCXHH,财通可持续混合,混合型,CAITONGKECHIXUHUNHE
16,20,JSCCPZTZHH,景顺长城品质投资混合,混合型,JINGSHUNCHANGCHENGPINZHITOUZIHUNHE
17,21,HXYSZZHH,华夏优势增长混合,混合型,HUAXIAYOUSHIZENGZHANGHUNHE
18,24,DMSLZQZQA,大摩双利增强债券A,债券型,DAMOSHUANGLIZENGQIANGZHAIQUANA
19,25,DMSLZQZQC,大摩双利增强债券C,债券型,DAMOSHUANGLIZENGQIANGZHAIQUANC
20,28,HFAXZQ,华富安鑫债券,债券型,HUAFUANXINZHAIQUAN
21,29,FGHGCLLHPZHH,富国宏观策略灵活配置混合,混合型,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE
22,30,CCHXYXHH,长城核心优选混合,混合型,CHANGCHENGHEXINYOUXUANHUNHE
23,31,HXFXHH,华夏复兴混合,混合型,HUAXIAFUXINGHUNHE
24,32,YFDXYZZQA,易方达信用债债券A,债券型,YIFANGDAXINYONGZHAIZHAIQUANA
25,33,YFDXYZZQC,易方达信用债债券C,债券型,YIFANGDAXINYONGZHAIZHAIQUANC
26,37,GFLC7TZQA,广发理财7天债券A,理财型,GUANGFALICAI7TIANZHAIQUANA
27,38,GFLC7TZQB,广发理财7天债券B,理财型,GUANGFALICAI7TIANZHAIQUANB
28,39,NYGZZHH,农银高增长混合,混合型,NONGYINGAOZENGZHANGHUNHE
29,41,HXQQGPQDII,华夏全球股票(QDII),QDII,HUAXIAQUANQIUGUPIAOQDII
30,42,ZZCTKCXFZ100ZSA,中证财通可持续发展100指数A,股票指数,ZHONGZHENGCAITONGKECHIXUFAZHAN100ZHISHUA
31,43,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
32,44,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI
33,45,GYCYZZQA,工银产业债债券A,债券型,GONGYINCHANYEZHAIZHAIQUANA
34,46,GYCYZZQB,工银产业债债券B,债券型,GONGYINCHANYEZHAIZHAIQUANB
35,47,HXSZZQA,华夏双债债券A,债券型,HUAXIASHUANGZHAIZHAIQUANA
36,48,HXSZZQC,华夏双债债券C,债券型,HUAXIASHUANGZHAIZHAIQUANC
37,49,ZYBPQQZYDQZZS,中银标普全球资源等权重指数,QDII-指数,ZHONGYINBIAOPUQUANQIUZIYUANDENGQUANZHONGZHISHU
38,51,HXHS300ETFLJA,华夏沪深300ETF联接A,联接基金,HUAXIAHUSHEN300ETFLIANJIEA
39,53,PHYCYNDKZQ,鹏华永诚一年定开债券,定开债券,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN
40,54,PHSZZLZQ,鹏华双债增利债券,债券型,PENGHUASHUANGZHAIZENGLIZHAIQUAN
41,55,GFNSDK100MYXHA,广发纳斯达克100美元现汇A,QDII-指数,GUANGFANASIDAKE100MEIYUANXIANHUIA
42,56,JXXFSJHH,建信消费升级混合,混合型,JIANXINXIAOFEISHENGJIHUNHE
43,57,ZYXFZTHH,中银消费主题混合,混合型,ZHONGYINXIAOFEIZHUTIHUNHE
44,58,GLAATLHPZHH,国联安安泰灵活配置混合,混合型,GUOLIANANANTAILINGHUOPEIZHIHUNHE
45,59,GLAZZYY100A,国联安中证医药100A,股票指数,GUOLIANANZHONGZHENGYIYAO100A
46,61,HXSSHH,华夏盛世混合,混合型,HUAXIASHENGSHIHUNHE
47,63,CSDZXXZTLHPZHH,长盛电子信息主题灵活配置混合,混合型,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE
48,64,DM18GYDKZ,大摩18个月定开债,定开债券,DAMO18GEYUEDINGKAIZHAI
49,65,GFJDQDHH,国富焦点驱动混合,混合型,GUOFUJIAODIANQUDONGHUNHE
50,66,NAHXHH,诺安鸿鑫混合,混合型,NUOANHONGXINHUNHE
51,67,MSJYZZYXA,民生加银转债优选A,债券型,MINSHENGJIAYINZHUANZHAIYOUXUANA
52,68,MSJYZZYXC,民生加银转债优选C,债券型,MINSHENGJIAYINZHUANZHAIYOUXUANC
53,69,GTRYZGDJZQA,国投瑞银中高等级债券A,债券型,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA
54,70,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC
55,71,HXHSETFLJA,华夏恒生ETF联接A,QDII-指数,HUAXIAHENGSHENGETFLIANJIEA
56,72,HAWJHBHH,华安稳健回报混合,混合型,HUAANWENJIANHUIBAOHUNHE
57,73,STMGCZDLHH,上投摩根成长动力混合,混合型,SHANGTOUMOGENCHENGZHANGDONGLIHUNHE
58,74,GYXYCZYNDKZA,工银信用纯债一年定开债A,定开债券,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA
59,75,HXHSETFLJXH,华夏恒生ETF联接现汇,QDII-指数,HUAXIAHENGSHENGETFLIANJIEXIANHUI
60,76,HXHSETFLJXC,华夏恒生ETF联接现钞,QDII-指数,HUAXIAHENGSHENGETFLIANJIEXIANCHAO
61,77,GYXYCZYNDKZC,工银信用纯债一年定开债C,定开债券,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC
62,78,GYXYCZLNDKZA,工银信用纯债两年定开债A,定开债券,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIA
63,79,GYXYCZLNDKZC,工银信用纯债两年定开债C,定开债券,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIC
64,80,TZKZZZQZQA,天治可转债增强债券A,债券型,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA
65,81,TZKZZZQZQC,天治可转债增强债券C,债券型,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC
66,82,JSYJAEFGP,嘉实研究阿尔法股票,股票型,JIASHIYANJIUAERFAGUPIAO
67,83,HTFXFHYHH,汇添富消费行业混合,混合型,HUITIANFUXIAOFEIHANGYEHUNHE
68,84,BSAYZQA,博时安盈债券A,债券型,BOSHIANYINGZHAIQUANA
69,85,BSAYZQC,博时安盈债券C,债券型,BOSHIANYINGZHAIQUANC
70,86,NFWL1NDKZA,南方稳利1年定开债A,定开债券,NANFANGWENLI1NIANDINGKAIZHAIA
71,87,JSZZJBGZETFLJA,嘉实中证金边国债ETF联接A,联接基金,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEA
72,88,JSZZJBGZETFLJC,嘉实中证金边国债ETF联接C,联接基金,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEC
73,89,MSJYJYLCYDA,民生加银家盈理财月度A,理财型,MINSHENGJIAYINJIAYINGLICAIYUEDUA
74,90,MSJYJYLCYDB,民生加银家盈理财月度B,理财型,MINSHENGJIAYINJIAYINGLICAIYUEDUB
75,91,XCXSYFJZQ,信诚新双盈分级债券,债券型,XINCHENGXINSHUANGYINGFENJIZHAIQUAN
76,92,XCXSYFJZQA,信诚新双盈分级债券A,固定收益,XINCHENGXINSHUANGYINGFENJIZHAIQUANA
77,93,XCXSYFJZQB,信诚新双盈分级债券B,分级杠杆,XINCHENGXINSHUANGYINGFENJIZHAIQUANB
78,103,GTZGQYJWGSYZ,国泰中国企业境外高收益债,QDII,GUOTAIZHONGGUOQIYEJINGWAIGAOSHOUYIZHAI
79,104,HCWLWJTLZQA,华宸未来稳健添利债券A,债券型,HUACHENWEILAIWENJIANTIANLIZHAIQUANA
80,105,JXAXHBZQA,建信安心回报债券A,定开债券,JIANXINANXINHUIBAOZHAIQUANA
