Index,FundCode,Sim1,name,type,Sim2
0,1,HXCZHH,华夏成长混合,混合型,HUAXIACHENGZHANGHUNHE
1,2,HXCZHH,华夏成长混合(后端),混合型,HUAXIACHENGZHANGHUNHE
2,3,ZHKZZZQA,中海可转债债券A,债券型,ZHONGHAIKEZHUANZHAIZHAIQUANA
3,4,ZHKZZZQC,中海可转债债券C,债券型,ZHONGHAIKEZHUANZHAIZHAIQUANC
4,5,JSZQXYDQZQ,嘉实增强信用定期债券,定开债券,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
5,6,XBLDLHCZHH,西部利得量化成长混合,混合型,XIBULIDELIANGHUACHENGZHANGHUNHE
6,8,JSZZ500ETFLJA,嘉实中证500ETF联接A,联接基金,JIASHIZHONGZHENG500ETFLIANJIEA
7,9,YFDTTLCHBA,易方达天天理财货币A,货币型,YIFANGDATIANTIANLICAIHUOBIA
8,10,YFDTTLCHBB,易方达天天理财货币B,货币型,YIFANGDATIANTIANLICAIHUOBIB
9,11,HXDPJXHH,华夏大盘精选混合,混合型,HUAXIADAPANJINGXUANHUNHE
10,12,HXDPJXHH,华夏大盘精选混合(后端),混合型,HUAXIADAPANJINGXUANHUNHE
11,13,YFDTTLCHBR,易方达天天理财货币R,货币型,YIFANGDATIANTIANLICAIHUOBIR
12,14,HXJLZQ,华夏聚利债券,债券型,HUAXIAJULIZHAIQUAN
13,15,HXCZZQA,华夏纯债债券A,债券型,HUAXIACHUNZHAIZHAIQUANA
14,16,HXCZZQC,华夏纯债债券C,债券型,HUAXIACHUNZHAIZHAIQUANC
15,17,CTKCXHH,财通可持续混合,混合型,CAITONGKECHIXUHUNHE
16,20,JSCCPZTZHH,景顺长城品质投资混合,混合型,JINGSHUNCHANGCHENGPINZHITOUZIHUNHE
17,21,HXYSZZHH,华夏优势增长混合,混合型,HUAXIAYOUSHIZENGZHANGHUNHE
18,24,DMSLZQZQA,大摩双利增强债券A,债券型,DAMOSHUANGLIZENGQIANGZHAIQUANA
19,25,DMSLZQZQC,大摩双利增强债券C,债券型,DAMOSHUANGLIZENGQIANGZHAIQUANC
20,28,HFAXZQ,华富安鑫债券,债券型,HUAFUANXINZHAIQUAN
21,29,FGHGCLLHPZHH,富国宏观策略灵活配置混合,混合型,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE
22,30,CCHXYXHH,长城核心优选混合,混合型,CHANGCHENGHEXINYOUXUANHUNHE
23,31,HXFXHH,华夏复兴混合,混合型,HUAXIAFUXINGHUNHE
24,32,YFDXYZZQA,易方达信用债债券A,债券型,YIFANGDAXINYONGZHAIZHAIQUANA
25,33,YFDXYZZQC,易方达信用债债券C,债券型,YIFANGDAXINYONGZHAIZHAIQUANC
26,37,GFLC7TZQA,广发理财7天债券A,理财型,GUANGFALICAI7TIANZHAIQUANA
27,38,GFLC7TZQB,广发理财7天债券B,理财型,GUANGFALICAI7TIANZHAIQUANB
28,39,NYGZZHH,农银高增长混合,混合型,NONGYINGAOZENGZHANGHUNHE
29,41,HXQQGPQDII,华夏全球股票(QDII),QDII,HUAXIAQUANQIUGUPIAOQDII
30,42,ZZCTKCXFZ100ZSA,中证财通可持续发展100指数A,股票指数,ZHONGZHENGCAITONGKECHIXUFAZHAN100ZHISHUA
31,43,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
32,44,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI
33,45,GYCYZZQA,工银产业债债券A,债券型,GONGYINCHANYEZHAIZHAIQUANA
34,46,GYCYZZQB,工银产业债债券B,债券型,GONGYINCHANYEZHAIZHAIQUANB
35,47,HXSZZQA,华夏双债债券A,债券型,HUAXIASHUANGZHAIZHAIQUANA
36,48,HXSZZQC,华夏双债债券C,债券型,HUAXIASHUANGZHAIZHAIQUANC
37,49,ZYBPQQZYDQZZS,中银标普全球资源等权重指数,QDII-指数,ZHONGYINBIAOPUQUANQIUZIYUANDENGQUANZHONGZHISHU
38,51,HXHS300ETFLJA,华夏沪深300ETF联接A,联接基金,HUAXIAHUSHEN300ETFLIANJIEA
39,53,PHYCYNDKZQ,鹏华永诚一年定开债券,定开债券,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN
40,54,PHSZZLZQ,鹏华双债增利债券,债券型,PENGHUASHUANGZHAIZENGLIZHAIQUAN
41,55,GFNSDK100MYXHA,广发纳斯达克100美元现汇A,QDII-指数,GUANGFANASIDAKE100MEIYUANXIANHUIA
42,56,JXXFSJHH,建信消费升级混合,混合型,JIANXINXIAOFEISHENGJIHUNHE
