,Unnamed: 0,FundCode,名称,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
0,0,1,华夏成长混合,4,0.0147,0.1411,0.0727,中高风险,47.14亿元
1,1,3,中海可转债债券A,2,0.0449,0.1103,-0.1553,中高风险,0.78亿元
2,2,4,中海可转债债券C,2,0.0448,0.1118,-0.1609,中高风险,0.42亿元
3,3,6,西部利得量化成长混合,4,0.0736,--,--,中高风险,1.37亿元
4,4,9,易方达天天理财货币A,3,0.002,0.028,0.107,低风险,232.53亿元
5,5,10,易方达天天理财货币B,3,0.0023,0.0305,0.1151,低风险,317.63亿元
6,6,11,华夏大盘精选混合,4,-0.0157,0.1628,0.337,中高风险,51.93亿元
7,7,13,易方达天天理财货币R,3,0.0023,0.0306,0.1154,无,26.83亿元
8,8,14,华夏聚利债券,2,0.0228,0.0755,0.0237,中风险,1.14亿元
9,9,15,华夏纯债债券A,2,0.0098,0.0632,0.1011,中低风险,21.16亿元
10,10,16,华夏纯债债券C,2,0.01,0.0595,0.0869,中低风险,3.18亿元
11,11,17,财通可持续混合,4,0.0527,0.2602,0.1738,中高风险,1.19亿元
12,12,20,景顺长城品质投资混合,4,0.0881,0.2456,0.3782,中高风险,4.17亿元
13,13,21,华夏优势增长混合,4,0.0534,0.1136,-0.0308,中高风险,51.99亿元
14,14,24,大摩双利增强债券A,2,0.0077,0.0629,0.1182,中低风险,22.79亿元
15,15,25,大摩双利增强债券C,2,0.0078,0.0591,0.1062,中低风险,8.42亿元
16,16,28,华富安鑫债券,2,0.0203,0.0387,0.056,中低风险,0.89亿元
17,17,29,富国宏观策略灵活配置混合,4,0.0828,0.2399,0.4382,中高风险,2.20亿元
18,18,30,长城核心优选混合,4,0.0134,0.0715,0.0983,中高风险,3.35亿元
19,19,31,华夏复兴混合,4,0.1293,0.286,-0.15,中高风险,12.78亿元
20,20,32,易方达信用债债券A,2,0.0097,0.0719,0.1287,中低风险,26.68亿元
21,21,33,易方达信用债债券C,2,0.0098,0.0699,0.1194,中低风险,5.76亿元
22,22,39,农银高增长混合,4,0.0883,0.095,-0.084,中高风险,3.24亿元
23,23,45,工银产业债债券A,2,0.0106,0.0927,0.1484,中风险,6.67亿元
24,24,46,工银产业债债券B,2,0.0101,0.0905,0.1351,中风险,0.78亿元
25,25,47,华夏双债债券A,2,0.0203,0.0761,0.0834,中风险,0.46亿元
26,26,48,华夏双债债券C,2,0.0197,0.0726,0.0752,中风险,0.34亿元
27,27,54,鹏华双债增利债券,2,0.0171,0.0763,0.1153,中风险,5.62亿元
28,28,56,建信消费升级混合,4,0.0452,0.2362,0.1741,中高风险,0.69亿元
29,29,57,中银消费主题混合,4,0.0179,0.1265,0.0222,中高风险,0.85亿元
30,30,58,国联安安泰灵活配置混合,4,0.0714,0.1253,0.1512,中高风险,1.89亿元
31,31,61,华夏盛世混合,4,0.058,0.034,-0.4015,中高风险,8.77亿元
32,32,63,长盛电子信息主题灵活配置混合,4,0.1212,-0.0702,-0.3394,中高风险,5.72亿元
33,33,65,国富焦点驱动混合,4,0.0255,0.1216,0.1898,中高风险,12.18亿元
34,34,66,诺安鸿鑫混合,4,0.0309,0.0643,0.1234,中高风险,0.68亿元
35,35,67,民生加银转债优选A,2,0.0391,0.1309,-0.0199,中高风险,1.85亿元
36,36,68,民生加银转债优选C,2,0.0398,0.1258,-0.0313,中高风险,0.27亿元
37,37,69,国投瑞银中高等级债券A,2,0.0136,0.0618,0.114,中低风险,0.49亿元
38,38,70,国投瑞银中高等级债券C,2,0.0127,0.0581,0.1029,中低风险,0.09亿元
39,39,72,华安稳健回报混合,4,-0.0019,0.0139,0.061,中高风险,4.61亿元
40,40,73,上投摩根成长动力混合,4,0.1226,0.1036,0.0637,中高风险,2.55亿元
41,41,80,天治可转债增强债券A,2,0.0578,0.1557,0.026,中高风险,0.32亿元
42,42,81,天治可转债增强债券C,2,0.0583,0.151,0.014,中高风险,0.91亿元
43,43,82,嘉实研究阿尔法股票,1,0.0356,0.2124,0.2635,高风险,10.44亿元
