,FundCode,名称,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模,
0,1,华夏成长混合,混合型,1.47%,14.11%,7.27%,中高风险,47.14亿元,
1,3,中海可转债债券A,债券型,4.49%,11.03%,-15.53%,中高风险,0.78亿元,
2,4,中海可转债债券C,债券型,4.48%,11.18%,-16.09%,中高风险,0.42亿元,
3,6,西部利得量化成长混合,混合型,7.36%,--,--,中高风险,1.37亿元,
4,9,易方达天天理财货币A,货币型,0.20%,2.80%,10.70%,低风险,232.53亿元,
5,10,易方达天天理财货币B,货币型,0.23%,3.05%,11.51%,低风险,317.63亿元,
6,11,华夏大盘精选混合,混合型,-1.57%,16.28%,33.70%,中高风险,51.93亿元,
7,13,易方达天天理财货币R,货币型,0.23%,3.06%,11.54%,无,26.83亿元,
8,14,华夏聚利债券,债券型,2.28%,7.55%,2.37%,中风险,1.14亿元,
9,15,华夏纯债债券A,债券型,0.98%,6.32%,10.11%,中低风险,21.16亿元,
10,16,华夏纯债债券C,债券型,1.00%,5.95%,8.69%,中低风险,3.18亿元,
11,17,财通可持续混合,混合型,5.27%,26.02%,17.38%,中高风险,1.19亿元,
12,20,景顺长城品质投资混合,混合型,8.81%,24.56%,37.82%,中高风险,4.17亿元,
13,21,华夏优势增长混合,混合型,5.34%,11.36%,-3.08%,中高风险,51.99亿元,
14,24,大摩双利增强债券A,债券型,0.77%,6.29%,11.82%,中低风险,22.79亿元,
15,25,大摩双利增强债券C,债券型,0.78%,5.91%,10.62%,中低风险,8.42亿元,
16,28,华富安鑫债券,债券型,2.03%,3.87%,5.60%,中低风险,0.89亿元,
17,29,富国宏观策略灵活配置混合,混合型,8.28%,23.99%,43.82%,中高风险,2.20亿元,
18,30,长城核心优选混合,混合型,1.34%,7.15%,9.83%,中高风险,3.35亿元,
19,31,华夏复兴混合,混合型,12.93%,28.60%,-15.00%,中高风险,12.78亿元,
