,FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
0,005303,股票型,11.65%,17.40%,--,高风险,15.97亿元
1,006035,债券型,0.67%,--,--,中低风险,4.43亿元
2,005493,混合型,4.48%,-5.70%,--,中高风险,0.49亿元
3,005822,债券型,0.88%,5.41%,--,无,10.85亿元
4,006478,股票型,1.81%,--,--,高风险,0.54亿元
5,006109,混合型,4.24%,78.75%,--,中高风险,0.10亿元
6,005330,混合型,0.22%,5.95%,--,中高风险,1.44亿元
7,005304,股票型,11.58%,16.61%,--,高风险,1.03亿元
8,006223,混合型,5.17%,--,--,中高风险,1.32亿元
9,005494,混合型,4.44%,-6.15%,--,中高风险,0.01亿元
10,005772,债券型,0.51%,4.27%,--,无,52.53亿元
11,004953,债券型,2.39%,7.48%,--,中低风险,0.82亿元
12,006036,债券型,1.98%,--,--,中低风险,0.00亿元
13,006538,混合型,2.03%,--,--,中高风险,0.03亿元
14,501307,股票指数,-6.05%,-5.18%,--,高风险,0.80亿元
15,501047,股票指数,-2.39%,29.09%,--,高风险,1.30亿元
16,005799,混合型,-0.04%,1.12%,--,中高风险,0.10亿元
17,006652,混合型,-5.09%,--,--,中高风险,0.15亿元
18,006539,混合型,5.70%,--,--,中高风险,0.01亿元
19,005351,混合型,3.04%,8.23%,--,中高风险,4.77亿元
20,006160,混合型,-0.83%,18.64%,--,中高风险,3.06亿元
21,005547,债券型,0.67%,6.74%,--,无,11.99亿元
22,005121,债券型,-0.03%,5.40%,--,中风险,0.43亿元
23,006685,混合型,2.28%,--,--,中高风险,0.25亿元
24,005400,混合型,2.87%,33.57%,--,中高风险,2.15亿元
25,501308,股票指数,-6.07%,-5.38%,--,高风险,0.02亿元
26,501048,股票指数,-2.41%,30.08%,--,高风险,2.73亿元
27,006225,混合型,0.60%,--,--,中高风险,0.56亿元
28,005800,混合型,-0.11%,6.69%,--,中高风险,0.00亿元
29,673101,股票指数,-0.69%,--,--,高风险,0.02亿元
30,163417,混合型,0.81%,21.71%,--,中高风险,345.08亿元
31,001678,股票型,-3.26%,--,--,高风险,0.12亿元
32,006161,混合型,-0.87%,18.04%,--,中高风险,1.14亿元
33,005287,股票指数,4.54%,13.09%,--,高风险,0.06亿元
34,005401,混合型,2.84%,32.89%,--,中高风险,0.18亿元
35,002125,混合型,5.05%,8.35%,--,中高风险,2.33亿元
36,005362,债券型,0.34%,--,--,无,7.37亿元
37,006226,混合型,0.53%,--,--,中高风险,0.01亿元
38,005844,混合型,5.54%,4.56%,--,中高风险,0.84亿元
39,001520,股票型,1.87%,14.87%,--,高风险,0.54亿元
40,006128,混合型,3.47%,--,--,中高风险,0.12亿元
41,004459,债券型,-0.12%,4.50%,--,无,26.14亿元
42,005399,混合型,-1.50%,12.81%,--,中高风险,0.04亿元
43,005363,债券型,0.38%,--,--,无,0.00亿元
