,客户编号,交易时间,交易金额,基金类型,基金编号
0,8393,2016-04-07 10:25:09,8875,混合型,1903.0
1,8393,2016-04-27 10:25:09,9299,债券型,5897.0
2,8393,2016-04-27 10:25:09,10685,债券型,6703.0
3,8393,2016-04-27 10:25:09,9820,债券型,161221.0
4,8393,2016-04-27 10:25:09,9119,债券型,4246.0
5,8393,2016-04-27 10:25:09,9115,混合型,5109.0
6,8393,2016-04-07 10:25:09,10365,债券型,4222.0
7,8393,2016-04-07 10:25:09,10143,债券型,395001.0
8,8393,2016-04-07 10:25:09,10034,混合型,90018.0
9,8393,2016-04-27 10:25:09,9676,债券型,161015.0
10,8393,2016-04-07 10:25:09,9618,混合型,4434.0
11,8393,2016-04-27 10:25:09,8925,债券型,3285.0
12,8393,2016-04-07 10:25:09,8995,债券型,3454.0
13,8393,2016-04-07 10:25:09,10690,债券型,2169.0
14,8393,2016-04-07 10:25:09,9865,债券型,5990.0
15,8393,2016-04-07 10:25:09,9638,债券型,2972.0
16,8393,2016-04-07 10:25:09,8945,债券型,340009.0
17,8393,2016-04-07 10:25:09,10507,混合型,4725.0
18,8393,2016-04-07 10:25:09,9447,混合型,2653.0
19,8393,2016-04-07 10:25:09,9184,债券指数,6633.0
20,8393,2016-04-27 10:25:09,9475,混合型,117.0
21,8393,2016-04-07 10:25:09,9760,债券型,118.0
22,8393,2016-04-27 10:25:09,9980,混合型,2934.0
23,8393,2016-04-07 10:25:09,9910,混合型,3028.0
24,8393,2016-04-27 10:25:09,9434,债券型,3638.0
25,8393,2016-04-27 10:25:09,10296,混合型,5464.0
26,8393,2016-04-27 10:25:09,9292,混合型,519674.0
27,8393,2016-04-07 10:25:09,10066,债券型,6494.0
28,8393,2016-04-27 10:25:09,10738,债券型,2277.0
29,8393,2016-04-07 10:25:09,9510,债券型,668.0
30,8393,2016-04-27 10:25:09,9522,混合型,1748.0
31,8393,2016-04-07 10:25:09,9081,债券型,194.0
32,8393,2016-04-07 10:25:09,10333,混合型,400001.0
33,8393,2016-04-27 10:25:09,10638,债券型,5631.0
34,8393,2016-04-27 10:25:09,10625,债券型,40012.0
35,8393,2016-04-27 10:25:09,8942,债券型,360008.0
36,8393,2016-04-07 10:25:09,9870,债券型,2459.0
37,8394,2016-04-27 10:25:09,9473,债券型,4118.0
38,8394,2016-04-07 10:25:09,10170,混合型,80012.0
39,8394,2016-04-27 10:25:09,8794,债券型,4043.0
40,8394,2016-04-27 10:25:09,9521,债券型,4882.0
41,8394,2016-04-27 10:25:09,10057,混合型,530005.0
42,8394,2016-04-07 10:25:09,9316,债券型,5573.0
43,8394,2016-04-07 10:25:09,9343,债券型,4103.0
44,8394,2016-04-27 10:25:09,10155,债券型,161627.0
45,8394,2016-04-07 10:25:09,9267,债券型,519186.0
46,8394,2016-04-07 10:25:09,10606,混合型,1834.0
47,8394,2016-04-27 10:25:09,9188,混合型,870.0
48,8394,2016-04-27 10:25:09,9895,债券型,3837.0
49,8394,2016-04-07 10:25:09,10085,债券型,519199.0
50,8394,2016-04-27 10:25:09,9308,债券型,2524.0
51,8394,2016-04-27 10:25:09,9264,债券型,660009.0
52,8394,2016-04-07 10:25:09,9325,债券型,2591.0
53,8394,2016-04-07 10:25:09,9294,债券型,489.0
54,8394,2016-04-07 10:25:09,10235,债券型,6170.0
55,8394,2016-04-07 10:25:09,9241,债券型,5580.0
56,8394,2016-04-07 10:25:09,8906,债券型,6059.0
57,8394,2016-04-27 10:25:09,9147,债券型,2786.0
58,8394,2016-04-07 10:25:09,9365,债券型,4797.0
59,8394,2016-04-27 10:25:09,10237,混合型,2593.0
60,8394,2016-04-07 10:25:09,10438,混合型,571002.0
61,8394,2016-04-27 10:25:09,10246,混合型,4834.0
62,8394,2016-04-27 10:25:09,8977,混合型,4332.0
63,8394,2016-04-07 10:25:09,10550,债券型,5667.0
64,8394,2016-04-07 10:25:09,9303,混合型,450002.0
65,8394,2016-04-27 10:25:09,10569,债券型,149.0
66,8394,2016-04-27 10:25:09,8849,混合型,3550.0
67,8394,2016-04-07 10:25:09,10013,债券型,5073.0
68,8394,2016-04-07 10:25:09,9268,定开债券,53.0
69,8394,2016-04-07 10:25:09,10467,债券型,3898.0
70,8394,2016-04-07 10:25:09,10359,债券型,3847.0
71,8394,2016-04-27 10:25:09,9497,债券型,3832.0
72,8394,2016-04-27 10:25:09,9895,混合型,2017.0
73,8394,2016-04-27 10:25:09,9498,混合型,200016.0
74,8394,2016-04-07 10:25:09,9651,债券型,5622.0
75,8394,2016-04-07 10:25:09,10164,债券型,2754.0
76,8395,2016-04-27 10:25:09,9508,混合型,4209.0
77,8395,2016-04-27 10:25:09,10080,债券型,519519.0
78,8395,2016-04-07 10:25:09,8955,债券型,6096.0
79,8395,2016-04-27 10:25:09,9082,混合型,1965.0
80,8395,2016-04-27 10:25:09,9120,混合型,557.0
81,8395,2016-04-07 10:25:09,10474,债券型,2065.0
82,8395,2016-04-07 10:25:09,8895,债券型,371120.0
83,8395,2016-04-27 10:25:09,9905,混合型,150968.0
84,8395,2016-04-07 10:25:09,9080,债券指数,3815.0
85,8395,2016-04-07 10:25:09,9856,债券型,166008.0
86,8395,2016-04-07 10:25:09,10157,债券型,4637.0
87,8395,2016-04-07 10:25:09,9705,债券型,163827.0
88,8395,2016-04-07 10:25:09,8941,债券型,4887.0
89,8395,2016-04-27 10:25:09,8860,混合型,20023.0
90,8395,2016-04-07 10:25:09,9808,混合型,519644.0
91,8395,2016-04-27 10:25:09,9114,债券型,5678.0
92,8395,2016-04-07 10:25:09,10263,债券型,166008.0
93,8395,2016-04-07 10:25:09,10481,混合型,2196.0
94,8395,2016-04-27 10:25:09,8950,债券型,5308.0
95,8395,2016-04-07 10:25:09,10297,债券型,5559.0
96,8395,2016-04-07 10:25:09,9007,联接基金,6286.0
97,8395,2016-04-27 10:25:09,9109,混合型,1809.0
98,8395,2016-04-07 10:25:09,9084,混合型,5403.0
99,8395,2016-04-07 10:25:09,9973,债券型,130.0
100,8395,2016-04-27 10:25:09,9700,混合型,4731.0
101,8395,2016-04-07 10:25:09,9826,混合型,1710.0
102,8395,2016-04-27 10:25:09,9670,债券指数,160721.0
103,8395,2016-04-27 10:25:09,10404,债券型,6607.0
104,8395,2016-04-07 10:25:09,10131,债券型,2342.0
