,客户编号,交易时间,交易金额,基金类型,基金编号
0,0,2016-04-27 10:25:09,5240,混合型,450002.0
1,0,2016-04-27 10:25:09,4806,混合型,270001.0
2,0,2016-04-27 10:25:09,4682,混合型,880.0
3,0,2016-04-27 10:25:09,5318,混合型,202007.0
4,0,2016-04-27 10:25:09,5509,混合型,700004.0
5,0,2016-04-07 10:25:09,4771,混合型,161834.0
6,0,2016-04-27 10:25:09,5449,混合型,160611.0
7,0,2016-04-07 10:25:09,4593,混合型,2862.0
8,0,2016-04-07 10:25:09,5546,混合型,2264.0
9,0,2016-04-07 10:25:09,4912,混合型,310328.0
10,0,2016-04-07 10:25:09,5142,混合型,160916.0
11,0,2016-04-07 10:25:09,5396,混合型,5000.0
12,0,2016-04-27 10:25:09,4605,混合型,2482.0
13,0,2016-04-07 10:25:09,5184,混合型,805.0
14,0,2016-04-27 10:25:09,4948,混合型,400032.0
15,0,2016-04-27 10:25:09,5268,混合型,169101.0
16,0,2016-04-07 10:25:09,4934,混合型,2908.0
17,0,2016-04-27 10:25:09,5552,混合型,163406.0
18,0,2016-04-07 10:25:09,4748,债券型,4625.0
19,0,2016-04-27 10:25:09,4793,混合型,5167.0
20,0,2016-04-07 10:25:09,4689,混合型,4694.0
21,0,2016-04-07 10:25:09,5198,混合型,2006.0
22,0,2016-04-07 10:25:09,4576,混合型,5318.0
23,0,2016-04-27 10:25:09,5409,混合型,531.0
24,0,2016-04-27 10:25:09,4953,混合型,5899.0
25,0,2016-04-07 10:25:09,5095,混合型,450007.0
26,0,2016-04-07 10:25:09,5400,混合型,3238.0
27,0,2016-04-27 10:25:09,5302,混合型,320007.0
28,0,2016-04-07 10:25:09,5440,混合型,1791.0
29,0,2016-04-27 10:25:09,5536,混合型,217001.0
30,0,2016-04-07 10:25:09,5050,混合型,673010.0
31,0,2016-04-07 10:25:09,4786,债券型,3983.0
32,0,2016-04-27 10:25:09,4793,混合型,1111.0
33,0,2016-04-07 10:25:09,5004,混合型,6103.0
34,0,2016-04-27 10:25:09,4903,混合型,4280.0
35,0,2016-04-07 10:25:09,4852,混合型,1123.0
36,0,2016-04-07 10:25:09,4898,混合型,5120.0
37,0,2016-04-27 10:25:09,4664,混合型,2489.0
38,0,2016-04-27 10:25:09,4854,混合型,1338.0
39,0,2016-04-07 10:25:09,4842,混合型,5794.0
40,0,2016-04-27 10:25:09,4816,混合型,519221.0
41,0,2016-04-27 10:25:09,5084,定开债券,3092.0
42,0,2016-04-27 10:25:09,5082,混合型,350002.0
43,0,2016-04-27 10:25:09,4614,混合型,672.0
44,0,2016-04-07 10:25:09,5422,混合型,90003.0
45,0,2016-04-27 10:25:09,4675,混合型,3655.0
46,0,2016-04-27 10:25:09,5039,混合型,5944.0
47,0,2016-04-07 10:25:09,5198,混合型,2544.0
48,0,2016-04-07 10:25:09,4901,混合型,2364.0
49,0,2016-04-07 10:25:09,5342,混合型,2358.0
50,0,2016-04-27 10:25:09,4738,混合型,2745.0
51,0,2016-04-07 10:25:09,5106,混合型,4745.0
52,0,2016-04-27 10:25:09,4723,混合型,519612.0
53,0,2016-04-07 10:25:09,5330,混合型,6101.0
54,0,2016-04-07 10:25:09,4816,混合型,3567.0
