,客户编号,基金交易频率,最大交易金额,混合型占比,债券指数或债券型占比,货币型占比,股票指数或股票型占比,其他型占比,客户类别
0,0,2.9,5590.0,1.0,0.0,0.0,0.0,0.0,0
1,1,2.65,5590.0,0.9245283018867925,0.07547169811320754,0.0,0.0,0.0,0
2,2,2.65,5525.0,0.9622641509433962,0.03773584905660377,0.0,0.0,0.0,0
3,3,2.75,5570.0,0.8909090909090909,0.09090909090909091,0.0,0.0,0.01818181818181818,0
4,4,2.7,5584.0,0.9259259259259259,0.07407407407407407,0.0,0.0,0.0,0
5,5,2.65,5584.0,0.9622641509433962,0.03773584905660377,0.0,0.0,0.0,0
6,6,2.65,5588.0,0.9622641509433962,0.018867924528301886,0.0,0.0,0.018867924528301886,0
7,7,2.75,5560.0,0.9454545454545454,0.03636363636363636,0.0,0.0,0.01818181818181818,0
8,8,2.9,5524.0,0.9655172413793104,0.0,0.0,0.0,0.034482758620689655,0
9,9,2.9,5584.0,0.9482758620689655,0.05172413793103448,0.0,0.0,0.0,0
10,10,2.75,5572.0,0.9272727272727272,0.05454545454545454,0.0,0.0,0.01818181818181818,0
11,11,2.75,5542.0,0.9454545454545454,0.03636363636363636,0.0,0.0,0.01818181818181818,0
12,12,2.65,5588.0,0.9622641509433962,0.018867924528301886,0.0,0.0,0.018867924528301886,0
13,13,2.9,5590.0,0.9655172413793104,0.034482758620689655,0.0,0.0,0.0,0
14,14,2.75,5585.0,0.9818181818181818,0.0,0.0,0.0,0.01818181818181818,0
15,15,2.8,5579.0,0.9464285714285714,0.05357142857142857,0.0,0.0,0.0,0
16,16,2.65,5580.0,0.9811320754716981,0.018867924528301886,0.0,0.0,0.0,0
17,17,2.8,5589.0,0.9464285714285714,0.03571428571428571,0.0,0.0,0.017857142857142856,0
18,18,2.7,5564.0,0.9074074074074074,0.09259259259259259,0.0,0.0,0.0,0
19,19,2.85,5573.0,0.9122807017543859,0.08771929824561403,0.0,0.0,0.0,0
20,20,2.75,5577.0,0.9636363636363636,0.03636363636363636,0.0,0.0,0.0,0
21,21,2.7,5580.0,0.9629629629629629,0.037037037037037035,0.0,0.0,0.0,0
22,22,2.9,5543.0,0.9310344827586207,0.06896551724137931,0.0,0.0,0.0,0
23,23,2.75,5576.0,0.9272727272727272,0.07272727272727272,0.0,0.0,0.0,0
24,24,2.85,5591.0,0.9298245614035088,0.05263157894736842,0.0,0.0,0.017543859649122806,0
25,25,2.65,5579.0,1.0,0.0,0.0,0.0,0.0,0
26,26,2.85,5585.0,0.9298245614035088,0.05263157894736842,0.0,0.0,0.017543859649122806,0
27,27,2.9,5577.0,1.0,0.0,0.0,0.0,0.0,0
28,28,2.9,5589.0,0.9310344827586207,0.06896551724137931,0.0,0.0,0.0,0
29,29,2.85,5583.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0
30,30,2.75,5553.0,0.9454545454545454,0.05454545454545454,0.0,0.0,0.0,0
31,31,2.75,5586.0,0.8909090909090909,0.09090909090909091,0.0,0.0,0.01818181818181818,0
32,32,2.85,5553.0,0.9473684210526315,0.03508771929824561,0.0,0.0,0.017543859649122806,0
33,33,2.75,5589.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,0
34,34,2.85,5587.0,1.0,0.0,0.0,0.0,0.0,0
35,35,2.75,5568.0,0.9454545454545454,0.03636363636363636,0.0,0.0,0.01818181818181818,0
36,36,2.75,5585.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,0
37,37,2.85,5517.0,0.9473684210526315,0.03508771929824561,0.0,0.0,0.017543859649122806,0
38,38,2.85,5544.0,0.9298245614035088,0.03508771929824561,0.0,0.0,0.03508771929824561,0
39,39,2.9,5582.0,0.9655172413793104,0.034482758620689655,0.0,0.0,0.0,0
40,40,2.9,5590.0,0.9310344827586207,0.06896551724137931,0.0,0.0,0.0,0
41,41,2.85,5586.0,0.9824561403508771,0.017543859649122806,0.0,0.0,0.0,0
42,42,2.9,5584.0,0.9827586206896551,0.0,0.0,0.0,0.017241379310344827,0
43,43,2.85,5565.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0
44,44,2.85,5565.0,0.9298245614035088,0.05263157894736842,0.0,0.0,0.017543859649122806,0
45,45,2.9,5582.0,0.9655172413793104,0.017241379310344827,0.0,0.0,0.017241379310344827,0
46,46,2.9,5567.0,0.9310344827586207,0.06896551724137931,0.0,0.0,0.0,0
47,47,2.8,5581.0,1.0,0.0,0.0,0.0,0.0,0
48,48,2.85,5586.0,0.9649122807017544,0.017543859649122806,0.0,0.0,0.017543859649122806,0
49,49,2.75,5575.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,0
50,50,2.75,5586.0,0.9454545454545454,0.05454545454545454,0.0,0.0,0.0,0
51,51,2.75,5580.0,0.9454545454545454,0.05454545454545454,0.0,0.0,0.0,0
52,52,2.85,5553.0,0.9649122807017544,0.017543859649122806,0.0,0.0,0.017543859649122806,0
53,53,2.75,5553.0,0.9272727272727272,0.03636363636363636,0.0,0.0,0.03636363636363636,0
54,54,2.75,5592.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,0
55,55,2.9,5582.0,0.9482758620689655,0.034482758620689655,0.0,0.0,0.017241379310344827,0
56,56,2.9,5588.0,0.9482758620689655,0.017241379310344827,0.0,0.0,0.034482758620689655,0
57,57,2.75,5591.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,0
58,58,2.85,5557.0,0.9649122807017544,0.017543859649122806,0.0,0.0,0.017543859649122806,0
59,59,2.85,5544.0,0.9122807017543859,0.07017543859649122,0.0,0.0,0.017543859649122806,0
60,60,2.65,5548.0,0.9811320754716981,0.018867924528301886,0.0,0.0,0.0,0
61,61,2.75,5579.0,0.9818181818181818,0.01818181818181818,0.0,0.0,0.0,0
62,62,2.9,5582.0,0.9310344827586207,0.05172413793103448,0.0,0.0,0.017241379310344827,0
63,63,2.75,5575.0,0.9636363636363636,0.03636363636363636,0.0,0.0,0.0,0
64,64,2.85,5591.0,0.9122807017543859,0.05263157894736842,0.0,0.0,0.03508771929824561,0
65,65,2.75,5574.0,0.9454545454545454,0.03636363636363636,0.0,0.0,0.01818181818181818,0
66,66,2.65,5590.0,0.8867924528301887,0.09433962264150944,0.0,0.0,0.018867924528301886,0
67,67,2.8,5587.0,0.9464285714285714,0.05357142857142857,0.0,0.0,0.0,0
68,68,2.9,5581.0,0.9482758620689655,0.05172413793103448,0.0,0.0,0.0,0
69,69,2.65,5502.0,0.9811320754716981,0.018867924528301886,0.0,0.0,0.0,0
70,70,2.7,5503.0,0.9629629629629629,0.037037037037037035,0.0,0.0,0.0,0
71,71,2.85,5584.0,0.9298245614035088,0.05263157894736842,0.0,0.0,0.017543859649122806,0
72,72,2.65,5586.0,0.9433962264150944,0.03773584905660377,0.0,0.0,0.018867924528301886,0
73,73,2.85,5529.0,0.9824561403508771,0.017543859649122806,0.0,0.0,0.0,0
74,74,2.7,5527.0,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0
75,75,2.9,5590.0,1.0,0.0,0.0,0.0,0.0,0
76,76,2.85,5591.0,0.8596491228070176,0.07017543859649122,0.0,0.0,0.07017543859649122,0
77,77,2.85,5589.0,0.9298245614035088,0.05263157894736842,0.0,0.0,0.017543859649122806,0
