id,基金编号(此值唯一),名称,简称,拼音,成立时间,类型,成立资产,供应商,银行,历史,投资类型,目标,最低购买金额,投资范围,最低购买份额,基金经理,基金经理主页,基金页面,用于计算配比的值
2988,4117,大成惠祥纯债债券型证券投资基金,大成惠祥,DCHX,2019-07-10,债券型,0,大成基金管理有限公司,交通银行股份有限公司,本基金由大成惠祥定期开放纯债债券型证券投资基金转型而来；自2019年7月10日起，《大成惠祥纯债债券型证券投资基金基金合同》正式生效，原《大成惠祥定期开放纯债债券型证券投资基金基金合同》同时失效；本基金的基金管理人：大成基金管理有限公司；基金托管人：交通银行股份有限公司；注册登记机构：大成基金管理有限公司。,开放式,通过积极主动的投资管理，追求基金资产的长期稳定增值，力争获取超过业绩比较基准的投资业绩。,0,"本基金的投资范围包括国内依法发行和上市的国债、央行票据、金融债、地方政府债、企业债、公司债、可分离交易可转债的纯债部分、次级债、中期票据、短期融资券、超短期融资券、资产支持证券、债券回购、银行存款（包括协议存款、定期存款、同业存单及其他银行存款）、现金等法律法规或中国证监会允许基金投资的其他金融工具，但须符合中国证监会相关规定。
    基金的投资组合比例为：本基金对债券的投资比例不低于基金资产的80%，本基金持有的现金（不包括结算备付金、存出保证金、应收申购款等）或到期日在一年以内的政府债券的投资比例不低于基金资产净值的5%。
    本基金不参与股票等权益类资产的投资，也不参与可转换债券（可分离交易可转债中的纯债部分除外）、可交换债券投资。
    如法律法规或监管机构以后允许基金投资其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围。",0,陈会荣,http://quote.cfi.cn/manager.aspx?jjjl=%e9%99%88%e4%bc%9a%e8%8d%a320070101,,0
3387,4736,富国鼎利纯债三个月定期开放债券型发起式证券投资基金,富国鼎利,FGDL,2019-07-09,债券型,0,富国基金管理有限公司,中国建设银行股份有限公司,本基金由富国鼎利纯债债券型发起式证券投资基金转型而来，自2019年7月9日起，《富国鼎利纯债三个月定期开放债券型发起式证券投资基金基金合同》生效，原《富国鼎利纯债债券型发起式证券投资基金基金合同》同时失效。本基金的基金管理人：富国基金管理有限公司；基金托管人：中国建设银行股份有限公司；注册登记机构：富国基金管理有限公司。,开放式(带固定封闭期),本基金在严格控制风险的基础上，通过积极主动的投资管理，力争为持有人提供较高的当期收益以及长期稳定的投资回报。,0,"本基金的投资范围主要为具有良好流动性的金融工具，包括债券（包括国债、地方政府债、金融债、企业债、公司债、次级债、央行票据、中期票据、短期融资券（含超短期融资券）、可分离交易可转债的纯债部分）、资产支持证券、债券回购、银行存款（包括定期存款、协议存款、通知存款等）、同业存单及其他货币市场工具以及法律法规或中国证监会允许基金投资的其他金融工具（但须符合中国证监会的相关规定）。
    如法律法规或监管机构以后允许基金投资其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围。
    本基金不投资于股票，也不投资于可转换债券（可分离交易可转债的纯债部分除外）、可交换债券。
    基金的投资组合比例为：本基金对债券资产的投资比例不低于基金资产的80%，每个开放期之前的10个工作日和之后的10个工作日以及开放期期间不受前述投资组合比例的限制；在开放期内，本基金持有现金或者到期日在一年以内的政府债券投资比例不低于基金资产净值的5%，其中现金不包括结算备付金、存出保证金、应收申购款等，在封闭期内，本基金不受前述5%的限制。
    如法律法规或中国证监会变更投资品种的投资比例限制，基金管理人在履行适当程序后，可以调整上述投资品种的投资比例。",0.01,黄纪亮,http://quote.cfi.cn/manager.aspx?jjjl=%e9%bb%84%e7%ba%aa%e4%ba%ae20080101,,0
7304,519334,浦银安盛盛勤3个月定期开放债券型发起式证券投资基金A类,浦银盛勤A,PYSQA,2019-06-26,债券型,1422649078,浦银安盛基金管理有限公司,中国民生银行股份有限公司,本基金由浦银安盛盛勤纯债债券型证券投资基金转型而来，自2019年6月26日起，《浦银安盛盛勤3个月定期开放债券型发起式证券投资基金基金合同》正式生效，原《浦银安盛盛勤纯债债券型证券投资基金基金合同》同日起失效。本基金的基金管理人：浦银安盛基金管理有限公司；基金托管人：中国民生银行股份有限公司；注册登记机构：中国证券登记结算有限责任公司。,开放式(带固定封闭期),在严格控制投资风险的前提下，力争长期内实现超越业绩比较基准的投资回报。,0,"本基金的投资范围主要为具有良好流动性的债券（国债、金融债、企业债、公司债、央行票据、中期票据、短期融资券、超级短期融资券、地方政府债、次级债、可分离交易可转债的纯债部分）、资产支持证券、债券回购、同业存单、银行存款等法律法规或中国证监会允许基金投资的其他金融工具（但须符合中国证监会的相关规定）。
    本基金不买入股票、权证等资产，可转换债券仅投资于可分离交易可转债的纯债部分。
    基金的投资组合比例为：本基金对债券的投资比例不低于基金资产的80%；应开放期流动性需要，为保护基金份额持有人利益，开放期开始前10个工作日、开放期以及开放期结束后的10个工作日内，本基金债券资产的投资比例不受上述比例限制；开放期内，本基金持有现金或者到期日在一年以内的政府债券投资比例不低于基金资产净值的5%，其中现金不包括结算备付金、存出保证金、应收申购款等。在封闭期内，本基金不受上述5%的限制。
    如法律法规或监管机构以后允许基金投资的其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围。如法律法规或中国证监会变更投资品种的投资比例限制，基金管理人在履行适当程序后，可以调整上述投资品种的投资比例。",5,李羿,http://quote.cfi.cn/manager.aspx?jjjl=%e6%9d%8e%e7%be%bf20090101,,0
7305,519335,浦银安盛盛勤3个月定期开放债券型发起式证券投资基金C类,浦银盛勤C,PYSQC,2019-06-26,债券型,948794.12,浦银安盛基金管理有限公司,中国民生银行股份有限公司,本基金由浦银安盛盛勤纯债债券型证券投资基金转型而来，自2019年6月26日起，《浦银安盛盛勤3个月定期开放债券型发起式证券投资基金基金合同》正式生效，原《浦银安盛盛勤纯债债券型证券投资基金基金合同》同日起失效。本基金的基金管理人：浦银安盛基金管理有限公司；基金托管人：中国民生银行股份有限公司；注册登记机构：中国证券登记结算有限责任公司。,开放式(带固定封闭期),在严格控制投资风险的前提下，力争长期内实现超越业绩比较基准的投资回报。,0,"本基金的投资范围主要为具有良好流动性的债券（国债、金融债、企业债、公司债、央行票据、中期票据、短期融资券、超级短期融资券、地方政府债、次级债、可分离交易可转债的纯债部分）、资产支持证券、债券回购、同业存单、银行存款等法律法规或中国证监会允许基金投资的其他金融工具（但须符合中国证监会的相关规定）。
    本基金不买入股票、权证等资产，可转换债券仅投资于可分离交易可转债的纯债部分。
    基金的投资组合比例为：本基金对债券的投资比例不低于基金资产的80%；应开放期流动性需要，为保护基金份额持有人利益，开放期开始前10个工作日、开放期以及开放期结束后的10个工作日内，本基金债券资产的投资比例不受上述比例限制；开放期内，本基金持有现金或者到期日在一年以内的政府债券投资比例不低于基金资产净值的5%，其中现金不包括结算备付金、存出保证金、应收申购款等。在封闭期内，本基金不受上述5%的限制。
    如法律法规或监管机构以后允许基金投资的其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围。如法律法规或中国证监会变更投资品种的投资比例限制，基金管理人在履行适当程序后，可以调整上述投资品种的投资比例。",5,李羿,http://quote.cfi.cn/manager.aspx?jjjl=%e6%9d%8e%e7%be%bf20090101,,0
5637,7521,南方日添益货币市场基金F类,南方日添益F,NFRTYF,2019-06-05,货币型,193875.31,南方基金管理股份有限公司,中国农业银行股份有限公司,自2019年6月5日起增加南方日添益货币市场基金的F类份额类别并对《基金合同》做相应修改。本基金的基金管理人：南方基金管理有限公司；基金托管人：中国农业银行股份有限公司；注册登记机构：南方基金管理有限公司。,开放式,在控制投资组合风险，保持流动性的前提下，力争为投资人提供稳定的收益。,0,"本基金投资于法律法规及监管机构允许投资的金融工具，包括：包括现金、期限在一年以内(含一年)的银行存款、债券回购、中央银行票据、同业存单，剩余期限在397天以内（含397天）的债券、非金融企业债务融资工具、资产支持证券以及中国证监会、中国人民银行认可的其他具有良好流动性的货币市场工具。
    如法律法规或监管机构以后允许基金投资其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围，并可依据届时有效的法律法规适时合理地调整投资范围。",0,董浩,http://quote.cfi.cn/manager.aspx?jjjl=%e8%91%a3%e6%b5%a920100101,,0
5638,7522,南方理财金交易型货币市场基金E类,南方理财金E,NFLCJE,2019-06-05,货币型,49645471.07,南方基金管理股份有限公司,中国农业银行股份有限公司,本基金自2019年6月5日起增加E类份额类别并对《基金合同》做相应修改。本基金基金管理人：南方基金管理有限公司，基金托管人：中国农业银行股份有限公司，注册登记机构：南方基金管理有限公司。,开放式,在控制投资组合风险，保持流动性的前提下，力争实现超越业绩比较基准的投资回报。,0,"本基金投资于法律法规及监管机构允许投资的金融工具，包括现金、期限在一年以内(含一年)的银行存款、债券回购、中央银行票据、同业存单，剩余期限在397天以内（含397天）的债券、非金融企业债务融资工具、资产支持证券以及中国证监会、中国人民银行认可的其他具有良好流动性的货币市场工具。
    未来若法律法规或监管机构允许基金投资其他基金的，在不改变基金投资目标、不改变基金风险收益特征，并且法律法规允许货币市场基金投资货币市场基金的条件下，本基金可投资其他货币市场基金，不需要召开基金份额持有人大会，具体投资比例限制按届时有效的法律法规和监管机构的规定执行。
    如法律法规或监管机构以后允许基金投资其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围。",0,蔡奕奕,http://quote.cfi.cn/manager.aspx?jjjl=%e8%94%a1%e5%a5%95%e5%a5%9520060101,,0
5320,6994,国泰瑞安三个月定期开放债券型发起式证券投资基金,国泰瑞安,GTRA,2019-05-30,债券型,1010000000,国泰基金管理有限公司,平安银行股份有限公司,本基金的募集已获中国证监会证监许可[2019]122号文准予注册募集。本基金自2019年5月27日至2019年8月26日通过基金管理人指定的销售机构公开发售。本基金的基金管理人：国泰基金管理有限公司；基金托管人：平安银行股份有限公司；注册登记机构：国泰基金管理有限公司。,开放式(带固定封闭期),在注重风险和流动性管理的前提下，力争获取超越业绩比较基准的投资收益。,0,"本基金的投资范围主要为具有良好流动性的金融工具，包括国债、金融债、企业债、公司债、央行票据、中期票据、短期融资券、超短期融资券、地方政府债、中小企业私募债、资产支持证券、次级债、债券回购、银行存款、同业存单等法律法规或中国证监会允许基金投资的其他金融工具（但须符合中国证监会的相关规定）。
    本基金不投资于股票、权证，不参与新股申购和新股增发，也不投资于可转换债券、可交换债券。
    本基金投资于债券资产的比例不低于基金资产的80%，但在每次开放期的前10个交易日、开放期及开放期结束后10个交易日的期间内，基金投资不受上述比例限制。开放期内本基金持有的现金或到期日在一年以内的政府债券投资比例合计不低于基金资产净值的5%，在封闭期内，本基金不受上述5%的限制；其中，现金不包括结算备付金、存出保证金和应收申购款等。
    如法律法规或监管机构以后允许基金投资其他品种或变更投资比例限制，基金管理人在履行适当程序后，可以相应调整本基金的投资范围和投资比例规定。",10,黄志翔,http://quote.cfi.cn/manager.aspx?jjjl=%e9%bb%84%e5%bf%97%e7%bf%9420100101,,0
5504,7259,民生加银中债1-3年农发行债券指数证券投资基金,民生中债1-3年,MSZZ1-3N,2019-05-27,债券型,22400001736,民生加银基金管理有限公司,中国农业银行股份有限公司,本基金的募集申请已获2019年4月2日中国证监会证监许可[2019]574号文注册。本基金将自2019年4月23日－2019年5月22日止公开发售。本基金的基金管理人：民生加银基金管理有限公司；基金托管人：中国农业银行股份有限公司；注册登记机构：民生加银基金管理有限公司。,开放式,本基金通过指数化投资，争取在扣除各项费用之前获得与标的指数相似的总回报，追求跟踪偏离度及跟踪误差的最小化。,0,"本基金主要投资于标的指数成份券及备选成份券，为更好实现投资目标，还可以投资于具有良好流动性的金融工具，包括国内依法发行上市的国债、政策性金融债、债券回购、银行存款等固定收益类资产以及法律法规或中国证监会允许基金投资的其他金融工具，但须符合中国证监会相关规定。
    本基金不参与股票、权证等资产投资，也不投资于可转换债券、企业债、公司债、可交换债券。
    如法律法规或监管机构以后允许基金投资其他品种，基金管理人在履行适当程序后，可以将其纳入投资范围。
    基金的投资组合比例为：本基金投资于债券资产的比例不低于基金资产的80%；其中标的指数成份券和备选成份券的比例不低于本基金非现金基金资产的80%；本基金持有现金或者到期日在一年以内的政府债券不低于基金资产净值的5%，其中现金不包括结算备付金、存出保证金及应收申购款等。
    如果法律法规或中国证监会变更投资品种的投资比例限制，基金管理人在履行适当程序后，可以调整上述投资品种的投资比例。",100,陆欣,http://quote.cfi.cn/manager.aspx?jjjl=%e9%99%86%e6%ac%a320060101,,0
5622,7495,兴业中债1-3年政策性金融债指数证券投资基金,兴业中债1-3年C,XYZZ13NZJZC,2019-05-27,债券指数,0,兴业基金管理有限公司,交通银行,,开放式,"紧密跟踪标的指数,追求跟踪偏离度和跟踪误差的最小化。在正常市场情况下,本基金力争追求日均跟踪偏离度的绝对值不超过0.35%,年化跟踪误差控制在4%以内。",100,"本基金主要投资于标的指数成份债券和备选成份债券。为更好地实现基金的投资目标,本基金会少量投资于其他债券(含国债、政策性金融债、地方政府债、央行票据等)、债券回购、同业存单、银行存款、货币市场工具及中国证监会允许基金投资的其他金融工具(但须符合中国证监会相关规定)。
本基金不投资股票、权证等权益类资产。
如法律法规或监管机构以后允许基金投资其他品种,基金管理人在履行适当程序后,可以将其纳入投资范围。",1,唐丁祥,http://fund.eastmoney.com/manager/30655186.html,,0
5482,7210,华商瑞丰短债债券型证券投资基金,华商瑞丰C,HSRFDZC,2019-05-24,债券型,0,华商基金管理有限公司,工商银行,,开放式,"通过基金管理人对以短期债券为主的债券的深入研究和对市场环境的判断,选择具有投资价值的债券,严格控制风险,力争实现基金资产的长期稳定增值。",100,"本基金投资于具有良好流动性的金融工具,包括国债、地方政府债、金融债、企业债、公司债、央行票据、中期票据、短期融资券、超短期融资券、资产支持证券、次级债、可分离交易可转债的纯债部分、债券回购、银行存款(包括协议存款、通知存款以及定期存款等其它银行存款)、同业存单、现金以及法律法规或中国证监会允许基金投资的其他金融工具(但须符合中国证监会的相关规定)。
本基金不投资于股票、权证资产,也不投资于可转换债券(可分离交易可转债的纯债部分除外)、可交换债券。",1,胡中原,http://fund.eastmoney.com/manager/30658289.html,,0
