,FundCode,类型
43,82,股票型
136,309,股票型
143,326,股票型
184,409,股票型
186,411,股票型
189,418,股票型
206,457,股票型
212,471,股票型
235,513,股票型
239,524,股票型
260,549,股票型
280,577,股票型
287,586,股票型
293,592,股票型
294,594,股票型
319,628,股票型
360,688,股票型
367,696,股票型
368,697,股票型
380,711,股票型
392,729,股票型
404,746,股票型
408,751,股票型
412,756,股票型
417,761,股票型
425,778,股票型
427,780,股票型
436,793,股票型
443,803,股票型
456,828,股票型
459,831,股票型
474,854,股票型
483,866,股票型
484,867,股票型
500,884,股票型
506,893,股票型
523,913,股票型
525,916,股票型
532,925,股票型
552,955,股票型
555,960,股票型
562,971,股票型
565,974,股票型
568,978,股票型
569,979,股票型
573,985,股票型
575,991,股票型
580,996,股票型
589,1008,股票型
590,1009,股票型
598,1028,股票型
602,1036,股票型
604,1039,股票型
605,1040,股票型
606,1042,股票型
607,1043,股票型
608,1044,股票型
611,1047,股票型
612,1048,股票型
613,1050,股票型
615,1054,股票型
622,1070,股票型
624,1072,股票型
637,1097,股票型
641,1104,股票型
642,1105,股票型
658,1126,股票型
678,1158,股票型
679,1162,股票型
680,1163,股票型
683,1166,股票型
684,1167,股票型
686,1171,股票型
693,1178,股票型
700,1186,股票型
701,1188,股票型
706,1193,股票型
708,1195,股票型
719,1208,股票型
732,1223,股票型
739,1230,股票型
745,1236,股票型
749,1245,股票型
773,1277,股票型
784,1291,股票型
802,1313,股票型
807,1319,股票型
858,1396,股票型
865,1404,股票型
870,1409,股票型
871,1410,股票型
877,1416,股票型
880,1421,股票型
906,1473,股票型
909,1476,股票型
914,1482,股票型
920,1490,股票型
922,1496,股票型
937,1520,股票型
938,1521,股票型
944,1528,股票型
955,1541,股票型
956,1542,股票型
972,1576,股票型
973,1577,股票型
975,1579,股票型
978,1583,股票型
986,1605,股票型
995,1616,股票型
1001,1626,股票型
1002,1628,股票型
1007,1637,股票型
1008,1638,股票型
1010,1643,股票型
1011,1644,股票型
1012,1645,股票型
1015,1651,股票型
1023,1663,股票型
1029,1672,股票型
1032,1677,股票型
1033,1678,股票型
1038,1685,股票型
1042,1692,股票型
1045,1696,股票型
1051,1703,股票型
1053,1705,股票型
1055,1707,股票型
1061,1714,股票型
1064,1717,股票型
1065,1718,股票型
1066,1719,股票型
1072,1725,股票型
1073,1726,股票型
1080,1733,股票型
1083,1736,股票型
1095,1749,股票型
1107,1764,股票型
1109,1766,股票型
1120,1781,股票型
1125,1790,股票型
1152,1825,股票型
1164,1849,股票型
1183,1877,股票型
1184,1878,股票型
1215,1915,股票型
1217,1917,股票型
1234,1938,股票型
1248,1956,股票型
1260,1974,股票型
1261,1975,股票型
1356,2121,股票型
1390,2168,股票型
1422,2210,股票型
1434,2229,股票型
1471,2289,股票型
1479,2300,股票型
1498,2332,股票型
1499,2333,股票型
1500,2334,股票型
1501,2335,股票型
1529,2387,股票型
1635,2556,股票型
1660,2595,股票型
1673,2621,股票型
1724,2697,股票型
1828,2861,股票型
1835,2871,股票型
1836,2872,股票型
1872,2952,股票型
1888,2980,股票型
1927,3053,股票型
1928,3054,股票型
1934,3069,股票型
1971,3145,股票型
2003,3190,股票型
2004,3191,股票型
2031,3230,股票型
2032,3231,股票型
2033,3232,股票型
2034,3233,股票型
2074,3298,股票型
2075,3299,股票型
2082,3312,股票型
2150,3416,股票型
2192,3492,股票型
2270,3622,股票型
2271,3623,股票型
2272,3624,股票型
2273,3625,股票型
2276,3634,股票型
2325,3745,股票型
