Index,User,FundCode,Point,Type
0,0,554,1.024374325,C2
1,0,2300,1.041423193,C2
2,0,220,1.028516699,C2
3,0,603,1.036347841,C2
4,0,117,1.021924987,C2
5,0,2334,1.02269218,C2
6,0,199,1.021343172,C2
7,0,594,1.03271096,C2
8,0,1054,1.040880138,C2
9,0,475,1.026817648,C2
10,0,688,1.045037405,C2
11,0,480,1.041833741,C2
12,0,196,1.038524852,C2
13,0,1725,1.040254447,C2
14,0,609,1.024203343,C2
15,0,3298,1.040731931,C2
16,0,1685,1.032015301,C2
17,0,1230,1.038544624,C2
18,0,1070,1.021581309,C2
19,0,854,1.037509731,C2
20,0,328,1.032309383,C2
21,1,541,1.031869406,C2
22,1,550,1.041682096,C2
23,1,431,1.031085831,C2
24,1,534,1.030284969,C2
25,1,1319,1.048918941,C2
26,1,664,1.033174577,C2
27,1,1048,1.045039502,C2
28,1,761,1.02583347,C2
29,1,167,1.049415372,C2
30,1,1223,1.041113902,C2
31,1,1230,1.026861883,C2
32,1,328,1.027925987,C2
33,1,609,1.026857126,C2
34,1,1714,1.045434399,C2
35,1,21,1.031692327,C2
36,1,1482,1.046272644,C2
37,1,256,1.051610223,C2
38,1,3492,1.055456979,C2
39,2,1528,1.021877011,C1
40,2,3492,1.026945504,C1
41,2,1825,1.022509916,C1
42,2,1917,1.026690536,C1
43,2,1223,1.029108237,C1
44,2,696,1.025051059,C1
45,2,979,1.022543594,C1
46,2,2952,1.02225748,C1
47,2,1645,1.016074353,C1
48,2,1956,1.024820434,C1
49,2,1644,1.027387223,C1
50,2,1579,1.043316305,C1
51,2,756,1.018421374,C1
52,2,1162,1.029026856,C1
53,2,3298,1.017608433,C1
54,2,1766,1.019703698,C1
55,2,411,1.016160143,C1
56,2,1718,1.019941899,C1
57,2,3634,1.020788103,C1
58,2,793,1.017645549,C1
59,2,1044,1.020455951,C1
60,2,1696,1.023210896,C1
61,2,1643,1.021460561,C1
62,2,1054,1.026182394,C1
63,2,729,1.029031821,C1
64,2,2332,1.027104115,C1
65,2,2335,1.025643834,C1
66,2,3299,1.026070137,C1
67,2,1749,1.023458335,C1
68,3,127,1.028356057,C2
69,3,423,1.026872238,C2
70,3,363,1.065880375,C2
71,3,251,1.040272597,C2
72,3,410,1.033036727,C2
73,3,679,1.024446315,C2
74,3,557,1.041439321,C2
75,3,2332,1.022218951,C2
76,3,1974,1.026508805,C2
77,3,1692,1.020965451,C2
78,3,652,1.045292603,C2
79,3,1039,1.02837104,C2
80,3,574,1.033266551,C2
81,3,354,1.041359479,C2
82,3,29,1.026471626,C2
83,3,408,1.025217646,C2
84,3,531,1.033015841,C2
85,3,126,1.036968303,C2
86,3,597,1.02852348,C2
87,3,556,1.040312045,C2
88,3,646,1.02131943,C2
