,FundCode,类型
0,1,混合型
1,3,债券型
2,4,债券型
3,6,混合型
4,9,货币型
5,10,货币型
6,11,混合型
7,13,货币型
8,14,债券型
9,15,债券型
10,16,债券型
11,17,混合型
12,20,混合型
13,21,混合型
14,24,债券型
15,25,债券型
16,28,债券型
17,29,混合型
18,30,混合型
19,31,混合型
20,32,债券型
21,33,债券型
22,39,混合型
23,45,债券型
24,46,债券型
25,47,债券型
26,48,债券型
27,54,债券型
28,56,混合型
29,57,混合型
30,58,混合型
31,61,混合型
32,63,混合型
33,65,混合型
34,66,混合型
35,67,债券型
36,68,债券型
37,69,债券型
38,70,债券型
39,72,混合型
40,73,混合型
41,80,债券型
42,81,债券型
43,82,股票型
44,83,混合型
45,84,债券型
46,85,债券型
47,91,债券型
48,104,债券型
49,107,债券型
50,109,债券型
51,110,混合型
52,117,混合型
53,118,债券型
54,119,债券型
55,120,混合型
56,121,混合型
57,122,债券型
58,123,债券型
59,124,混合型
60,126,混合型
61,127,混合型
62,128,债券型
63,129,债券型
64,130,债券型
65,131,债券型
66,136,混合型
67,139,债券型
68,141,债券型
69,142,债券型
70,143,债券型
71,147,债券型
72,148,债券型
73,149,债券型
74,150,债券型
75,152,债券型
76,153,债券型
77,165,混合型
78,166,混合型
79,167,混合型
80,171,债券型
81,172,混合型
82,173,混合型
83,174,债券型
84,175,债券型
85,181,债券型
86,182,债券型
87,184,债券型
88,185,债券型
89,186,债券型
90,187,债券型
91,188,债券型
92,189,债券型
93,190,混合型
94,191,债券型
95,192,债券型
96,194,债券型
97,195,混合型
98,196,混合型
99,198,货币型
100,199,混合型
101,203,货币型
102,204,货币型
103,205,债券型
104,206,债券型
105,207,债券型
106,208,债券型
107,209,混合型
108,210,货币型
109,211,货币型
110,214,混合型
111,215,混合型
112,219,混合型
113,220,混合型
114,236,债券型
115,241,混合型
116,242,混合型
117,251,混合型
118,252,债券型
119,253,债券型
120,256,混合型
121,259,混合型
122,263,混合型
123,264,混合型
124,273,混合型
125,279,混合型
126,286,债券型
127,294,混合型
128,297,债券型
129,298,债券型
130,299,债券型
131,300,货币型
132,301,货币型
133,305,债券型
134,306,债券型
135,308,混合型
136,309,股票型
137,314,混合型
138,316,债券型
139,319,债券型
140,320,债券型
141,324,货币型
142,325,货币型
143,326,股票型
144,327,混合型
145,328,混合型
146,330,货币型
147,331,货币型
148,332,货币型
149,333,债券型
150,334,债券型
151,336,混合型
152,338,债券型
153,339,混合型
154,343,货币型
155,354,混合型
156,355,债券型
157,356,债券型
158,359,货币型
159,362,混合型
160,363,混合型
161,366,货币型
162,367,混合型
163,371,货币型
164,377,债券型
165,378,债券型
166,379,货币型
167,380,货币型
168,381,货币型
169,385,债券型
170,386,债券型
171,389,货币型
172,390,混合型
173,394,债券型
174,395,债券型
175,396,债券型
176,397,货币型
177,398,混合型
178,402,债券型
179,403,债券型
180,404,混合型
181,406,债券型
182,407,债券型
183,408,混合型
184,409,股票型
185,410,混合型
186,411,股票型
187,414,混合型
188,417,混合型
189,418,股票型
190,419,债券型
191,420,债券型
192,421,债券型
193,422,债券型
194,423,混合型
195,424,货币型
196,425,货币型
197,428,债券型
198,431,混合型
199,432,混合型
200,433,混合型
201,434,货币型
202,435,债券型
203,436,混合型
204,439,货币型
205,452,混合型
206,457,股票型
207,458,混合型
208,462,混合型
209,463,债券型
210,464,货币型
211,466,债券型
212,471,股票型
213,475,货币型
214,476,货币型
215,477,混合型
216,480,混合型
217,481,债券型
218,483,货币型
219,484,货币型
220,489,债券型
221,490,债券型
222,493,货币型
223,494,货币型
224,495,货币型
225,496,混合型
226,497,债券型
227,503,债券型
228,504,债券型
229,505,货币型
230,506,货币型
231,507,混合型
232,508,混合型
233,509,货币型
234,511,混合型
235,513,股票型
236,520,混合型
237,522,混合型
238,523,混合型
239,524,股票型
240,526,混合型
241,527,混合型
242,528,货币型
243,529,混合型
244,530,混合型
245,531,混合型
246,532,混合型
247,533,货币型
248,534,混合型
249,535,混合型
250,536,债券型
251,538,混合型
252,539,货币型
253,540,货币型
254,541,混合型
255,542,货币型
256,543,货币型
257,545,混合型
258,547,混合型
259,548,货币型
260,549,股票型
261,550,混合型
262,551,混合型
263,554,混合型
264,556,混合型
265,557,混合型
266,559,货币型
267,560,货币型
268,561,债券型
269,562,债券型
270,563,债券型
271,564,债券型
272,566,混合型
273,567,混合型
274,569,货币型
275,572,混合型
276,573,混合型
277,574,混合型
278,575,货币型
279,576,货币型
280,577,股票型
281,578,债券型
282,579,债券型
283,580,货币型
284,581,货币型
285,584,混合型
286,585,混合型
287,586,股票型
288,587,混合型
289,588,货币型
290,589,混合型
291,590,混合型
292,591,混合型
293,592,股票型
294,594,股票型
295,595,混合型
296,597,混合型
297,598,混合型
298,599,货币型
299,600,货币型
300,601,混合型
301,602,货币型
302,603,混合型
303,604,货币型
304,605,货币型
305,606,债券型
306,607,货币型
307,609,混合型
308,612,混合型
309,615,货币型
310,616,债券型
311,617,债券型
312,618,货币型
313,619,混合型
314,620,货币型
315,621,货币型
316,625,货币型
317,626,货币型
318,627,货币型
319,628,股票型
320,634,混合型
321,638,货币型
322,639,混合型
323,640,货币型
324,641,货币型
325,642,货币型
326,644,货币型
327,645,货币型
328,646,混合型
329,647,货币型
330,648,货币型
331,649,混合型
332,650,货币型
333,651,货币型
334,652,混合型
335,654,混合型
336,655,债券型
337,657,货币型
338,658,货币型
339,659,货币型
340,660,货币型
341,661,货币型
342,662,货币型
343,663,混合型
344,664,混合型
345,665,货币型
346,667,混合型
347,668,债券型
348,669,债券型
349,672,混合型
